,# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
787,515526152020,271.0358178999999,-29.1272908,15.7257967,28.5934632,28.5934632,2.92233,0.199605,0.7,0.657571,10.463273,11.165567,10.749022,3,9290,2288,271.03587000000005,-29.12728,OSARG
1037,515538923592,268.321201,-29.1445527,17.487241,24.1074944,11.083131199999999,3.3259809999999996,0.530036,0.8,0.751246,10.417244,12.134797,11.116082,2,36,11,268.32121,-29.14456,OSARG
1431,515578697393,270.0671826,-32.1938587,0.0670808,4.621611799999999,7.739969800000001,2.158896,0.06488300000000001,1.0,0.8681979999999999,10.0000162,11.011097999999999,10.411406,1,16,1,270.06721,-32.19386,OSARG
1746,515517193525,270.07659680000006,-27.7043942,3.6549167999999996,1.9239043000000002,1.9239043000000002,2.535967,0.276521,1.0,0.917423,9.974846800000002,11.583713000000001,10.629462,3,3,1,270.07658,-27.704390000000004,OSARG
1998,515578922460,270.0486338,-31.706569599999998,1.0035730999999999,18.9521557,24.7277578,2.3961509999999997,0.128405,1.0,0.952492,10.8808603,11.673794000000001,11.203489,2,204,5,270.04862,-31.706559999999996,OSARG
2531,515436499330,266.6907241,-23.2152225,8.055052,5.9310304,2.7696901,2.100044,0.213878,1.0,0.8901680000000001,10.599863099999999,11.678442,11.038715,2,1,1,266.69075,-23.215220000000002,OSARG
2658,515421226126,265.2827436,-22.6915104,26.2321398,2.635504,17.685506600000004,2.307548,0.336596,0.8888889999999999,0.85,10.0856476,11.544536,10.67924,1,206,182,265.28275,-22.6915,OSARG
3384,515526053605,270.59355619999997,-29.1135863,27.870872100000003,3.7655422999999995,11.979142699999999,2.179528,0.326288,1.0,0.8346049999999999,10.1675529,11.457792999999999,10.692525999999999,1,476,34,270.59358,-29.11358,OSARG
3468,515579066232,269.8859819,-31.3273957,1.6613916000000002,16.973867300000002,27.739467100000002,2.041732,0.234933,1.0,0.809808,10.668155699999998,11.650347,11.067789999999999,1,70,47,269.886,-31.32739,OSARG
3469,515621372853,268.19744469999995,-34.0730485,8.8817205,12.393343699999999,17.1023643,2.0946599999999997,0.112034,1.0,0.952492,10.6522045,11.634446,11.051859,2,180,140,268.19746000000004,-34.073029999999996,OSARG
4287,515538900158,268.54418039999996,-29.3015467,3.5118902000000003,22.8355476,7.6356463,2.498934,0.500837,0.833333,0.809808,10.3262243,11.883305,10.959769,2,333,5,268.54425,-29.301640000000003,OSARG
4576,515578989151,269.78009360000004,-31.434372999999997,9.2487936,1.2253493,24.414533,2.17959,0.071156,1.0,0.8901680000000001,10.4333439,11.372456,10.81545,2,106,73,269.78012,-31.434390000000004,OSARG
4607,515559366988,267.66120789999997,-30.261288500000003,7.711413,27.768573800000002,3.5905586000000005,5.3078970000000005,0.0074730000000000005,0.76,0.73,10.6863823,11.747253,11.118030000000001,2,242,93,267.66125,-30.261309999999998,OSARG
4655,515527677067,268.123998,-29.1834734,5.8660334,18.1505804,16.9965285,2.6784470000000002,0.32521500000000003,0.772727,0.741881,9.7441921,11.492356,10.455485000000001,2,3728,3455,268.124,-29.18347,OSARG
4960,515495010378,270.2445914,-26.8108375,29.9046217,0.9974154000000001,0.9976864,2.153223,-999999500.0,0.777778,0.7621319999999999,-999999990.0,-999999500.0,11.580949,2,1,1,270.24462,-26.810809999999996,OSARG
5036,515578949227,269.9479994,-31.5987407,8.512924499999999,18.2952007,28.536333000000003,2.3460259999999997,-0.1768,1.0,0.917423,10.6602955,11.502887,11.003129,2,28,6,269.94804,-31.59872,OSARG
5437,515550010193,267.4649142,-29.6884233,17.004520499999998,9.128041900000001,7.110981599999999,2.3418240000000003,0.839925,1.0,0.7621319999999999,9.994916,11.832362,10.742536999999999,1,15,2,267.46492,-29.688470000000002,OSARG
5496,515495005232,270.48193860000003,-26.932748999999998,16.3794141,25.489786499999997,1.0113632,2.041214,0.207224,1.0,0.952492,10.2875814,11.871241,10.931941,1,2,2,270.48196,-26.93275,OSARG
5665,515621412371,268.3331247,-34.061751,22.3257935,29.4021132,6.1642931,2.481097,0.18983599999999998,1.0,0.917423,10.750352900000001,11.821173,11.186048,1,500,24,268.33312,-34.06175,OSARG
5769,515534048766,261.3549029,-29.2805707,3.8599828,27.375874100000004,3.860536,2.061259,0.266935,1.0,0.8901680000000001,9.5808344,11.093847,10.196449000000001,3,13,1,261.35488,-29.28058,OSARG
5889,515557633227,270.9888287,-30.7631798,23.469120699999998,16.1708145,20.7112305,2.583924,0.051483,0.875,0.8681979999999999,9.901269000000001,11.036321000000001,10.363099,2,50,1,270.98883,-30.763170000000002,OSARG
5932,515543924329,262.3159153,-29.354740000000003,21.3122931,22.609837399999996,3.5827459000000004,2.3781950000000003,0.12413699999999998,1.0,0.952492,10.3593359,11.559166000000001,10.847522999999999,1,3,3,262.31592,-29.35472,OSARG
6153,515527521303,267.8615756,-29.3027787,27.640510499999998,14.340619,9.075936,2.037727,0.604909,0.875,0.8681979999999999,9.605998,11.662109,10.442589,2,72,17,267.86158,-29.30278,OSARG
6242,515482828313,272.04050589999997,-25.8093268,5.7310898,22.101266199999998,26.6617244,2.018998,0.394856,1.0,0.775,10.781460800000001,12.271019,11.387532,2,179,134,272.0405,-25.80933,OSARG
6277,515557502512,270.5473442,-30.763995899999998,27.023825199999997,28.3502561,22.4361712,2.011858,0.21251799999999998,1.0,0.917423,9.764282199999998,10.93055,10.238813,1,84,16,270.54733,-30.764,OSARG
6409,515494893297,270.1388985,-26.997836199999995,6.503112000000001,18.3740012,12.0063451,2.383291,0.44062700000000005,0.8888889999999999,0.85,9.2673731,11.178364,10.044917,4,172,20,270.13896,-26.997809999999998,OSARG
6915,515610983104,266.9540104,-33.5213975,6.0582708,9.362424,9.362424,3.249532,0.022906,1.0,0.917423,10.6192188,11.646866000000001,11.037348,2,30,8,266.954,-33.52142,OSARG
7008,515459892460,273.07030299999997,-25.2819897,9.1751,27.3982517,26.256316499999997,2.106625,0.10173,1.0,0.952492,9.8070545,10.839046000000002,10.226952,2,104,12,273.07032999999996,-25.28197,OSARG
7208,515526332555,270.338957,-28.4176527,6.1359129999999995,22.261128600000003,4.0034472999999995,2.178182,0.202218,0.7741939999999999,0.711645,10.497466099999999,11.639228,10.962027,1,92,13,270.33896,-28.41767,OSARG
7845,515516748157,269.41735389999997,-28.325730800000002,17.399032100000003,18.286303,9.3732496,2.229124,0.49555299999999997,0.9444440000000001,0.7621319999999999,9.7322884,11.568480000000001,10.479399,4,147,13,269.41738,-28.32572,OSARG
7864,515495036934,270.43392719999997,-26.8483734,1.7845455000000001,2.007055,0.5018254,2.30103,0.228163,1.0,0.917423,10.3049564,11.906822,10.956724000000001,1,1,1,270.43396,-26.848359999999996,OSARG
8030,515549908615,267.3412344,-29.8388968,22.3926843,26.298942800000003,5.9044266,2.679665,0.5751649999999999,1.0,0.952492,9.8955908,11.406407000000002,10.510311999999999,1,137,16,267.34121,-29.838829999999998,OSARG
8313,515459852582,272.5054322,-25.0602599,2.5956156000000004,5.9878471,27.664429100000003,3.501953,-0.347167,0.8461540000000001,0.799615,10.342055300000002,11.150989,10.671194,1,172,115,272.50542,-25.06022,OSARG
8502,515437109041,267.3663772,-22.3668626,1.6573453999999999,14.3354506,15.094613399999998,2.5350740000000003,0.382997,1.0,0.775,9.7092743,11.307983,10.359757,3,3745,3366,267.36642,-22.36681,OSARG
8639,515436341485,266.8381017,-23.576010600000004,20.220027899999998,3.2885601,27.586202500000002,2.073978,0.171778,1.0,0.952492,9.740053199999998,11.219672000000001,10.342081,2,133,52,266.83825,-23.57589,OSARG
8721,515543928834,262.3220599,-29.3513205,12.5970456,7.874276700000001,18.9575574,2.430296,0.22649299999999997,1.0,0.8681979999999999,10.521616,11.635765,10.974941000000001,1,162,46,262.32207999999997,-29.351309999999998,OSARG
8846,515517427395,269.8185836,-27.077303999999998,10.145041800000001,3.7124258,11.978708300000001,2.454591,0.5185029999999999,0.8636360000000001,0.741881,9.3203583,11.444028999999999,10.184438,1,1337,417,269.81858,-27.07728,OSARG
8885,515482844841,272.0157441,-25.770607000000002,9.468525999999999,8.4826097,4.760711799999999,2.5241700000000002,0.074769,0.809524,0.746396,10.234210000000001,11.795596000000002,10.869507,2,1,1,272.01579,-25.77061,OSARG
8989,515419832771,268.3151952,-22.4727701,0.6837846,1.7384779,0.9344734,2.135056,0.107024,1.0,0.8681979999999999,9.996924400000001,11.304114,10.528794,2,1,1,268.31521000000004,-22.47281,OSARG
