# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,asassnID,vartype
#
# Results of Query: Database VVVDR4 06/02/20 22:10
# select viva.vivaID,viva.ra,viva.dec,viva.freqSTR,viva.freqPDM,
# viva.freqLSG,(v.ksMaxMag-v.ksMinMag) as ksAmpl,s.jmhPnt,viva.kFi2,
# viva.faPcorrelation2,CASE WHEN (s.ksAperMag3>0 and s.jAperMag3>0 and 
# s.ksAperMag3<25 and s.jAperMag3<25) THEN (s.ksAperMag3 - 
# 0.686*(s.jAperMag3-s.ksAperMag3)) ELSE -9.9999999e8 END as wesenheit,
# s.jAperMag3,s.ksAperMag3,flagNfreq,flagFbias6,flagFbias7, u.asassnID, 
# u.vartype from vvvVivaCatalogue as viva,vvvVariability as v,vvvSource 
# as s,#userTable as u where v.sourceID=viva.vivaID and v.ksMinMag>0. 
# and v.ksnGoodObs>40 and viva.faPcorrelation2 > 0 and 
# s.sourceID=v.sourceID and v.sourceID=u.sourceID
# Column Headers at start of file AND below
#
# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,asassnID,vartype
        515495333139,    +270.8074738,     -26.4242056,     +23.1537540,     +12.1611415,      +0.0993239,     +1.528664, -9.999995E008,      +1.0000000,      +0.8500000,  -9.9999999E008, -9.999995E008,    +10.694008,     1,     1,     1,AP28069049, SR
        515517127039,    +269.7567338,     -27.6853978,     +19.3328426,      +1.9397240,      +1.9397240,     +0.195374,     +0.797548,      +0.7500000,      +0.6856800,     +10.5464926,    +12.826502,    +11.474183,     2,     2,     1,AP28046498, SR
        515526632842,    +271.2177188,     -28.1934266,      +1.0161819,      +1.7262344,      +2.7289259,     +1.546981,     +0.191029,      +0.8750000,      +0.8681980,     +10.1087704,    +11.157796,    +10.535598,     1,     1,     1,    301396, SR
        515526725345,    +270.7065630,     -27.7187970,     +26.4586468,     +18.3191756,      +9.6096406,     +1.833858,     -0.041127,      +1.0000000,      +0.8901680,      +9.4272995,    +10.708846,     +9.948735,     2,     9,     1,    248394, SR
        515535802952,    +271.6477715,     -29.0017515,     +27.8016863,     +29.6849270,      +2.3939516,     +0.798528,     +0.238724,      +1.0000000,      +0.9524920,     +10.9390154,    +12.151832,    +11.432487,     1,     3,     1,    321196, SR
        515537607614,    +276.3557456,     -28.7667963,      +2.2323291,      +2.2321934,      +2.2321934,     +0.622051,     +0.252742,      +0.9285710,      +0.6888730,     +14.5825224,    +15.142581,    +14.810399,     5,     1,     1,     69889, SR
        515539064441,    +268.9550369,     -29.2131232,     +20.7854754,     +27.5433136,     +27.5434554,     +0.350068,     +0.563372,      +1.0000000,      +0.8346050,     +10.8928671,    +12.584093,    +11.580994,     2, -2211, -2423,    293491, SR
        515542777462,    +259.8928616,     -29.2802817,      +5.9996778,     +20.9478925,      +2.9393659,     +0.606198,     +0.456477,      +1.0000000,      +0.9524920,     +10.9965544,    +11.962817,    +11.389708,     2,     4,     1,AP28006545, SR
        515545133534,    +272.5947571,     -29.8526964,     +22.6498959,      +1.2063833,     +14.4765381,     +0.647565,     +0.355454,      +1.0000000,      +0.8098080,      +9.9437532,    +11.577925,    +10.608665,     2,     8,     2,    316244, SR
        515609523875,    +270.5232656,     -33.3944871,      +1.5943746,      +1.5943746,      +1.5943746,     +0.344380,     +0.374293,      +0.9833330,      +0.6661900,     +13.2919235,    +14.076241,    +13.611047,     5,     1,     1,    324504, SR
        515630337324,    +269.3643207,     -34.9769065,      +0.6914156,      +0.3051390,      +0.3048968,     +1.112795,     +0.060112,      +1.0000000,      +0.9174230,      +9.9751711,    +10.735760,    +10.284639,     2,     1,     1,AP27798970, SR
        515639073973,    +271.0040324,     -35.8730941,      +0.5232797,      +0.5234145,      +0.5232797,     +0.494276,     +0.328451,      +0.9534880,      +0.6872490,     +12.4361010,    +13.143961,    +12.724115,     5,     1,     1,    310067, SR
        515659058875,    +267.0364639,     -36.9672978,     +21.3622608,     +11.3228050,     +11.3228050,     +0.404096,     +0.493073,      +0.9090910,      +0.8213600,     +10.7494497,    +11.865802,    +11.203671,     3,    16,     3,    283808, SR
        515611102619,    +266.9874927,     -33.3578343,     +21.4177176,      +0.0373064,     +16.7523295,     +1.358142,     +0.203349,      +0.8750000,      +0.7750000,     +10.8283100,    +11.808509,    +11.227134,     1,    69,    21,    372481, SR
        515559530231,    +268.3493958,     -30.3421720,     +15.7398630,      +8.9475514,      +8.8759774,     +0.974338,     +0.097901,      +0.8750000,      +0.8681980,     +10.2201910,    +11.124916,    +10.588305,     2,    86,    36,    241171, SR
        515526294994,    +270.2418199,     -28.4499586,     +10.3108692,      +5.2642502,      +1.3379519,     +0.733926,     +0.320873,      +0.8787880,      +0.7066700,     +10.9744635,    +12.145892,    +11.451095,     1,    27,     1,    319485, SR
        515517103235,    +270.0223591,     -27.8679311,     +11.9077638,     +27.2286065,     +27.2286065,     +1.218073,     +0.317944,      +1.0000000,      +0.8500000,      +9.8776445,    +11.582248,    +10.571214,     4,    11,     2,    249271, SR
        515642478831,    +268.2519339,     -35.4325756,     +23.1960782,     +18.7247624,     +18.7247624,     +0.270655, -9.999995E008,      +0.8750000,      +0.6799040,     +11.8326960,    +13.123627,    +12.357950,     2,   108,    69,    370280, SR
        515591203519,    +268.4487710,     -32.5855247,     +17.0643864,     +27.8455922,     +27.8454553,     +0.352380,     +0.819811,      +0.8205130,      +0.6941150,     +10.8967304,    +12.820964,    +11.679663,     3,   478,   169,AP27821747, SR
        515638022864,    +263.2678765,     -34.1283772,     +15.4885908,     +29.5386590,     +14.4858537,     +0.589148,     +0.337007,      +1.0000000,      +0.8098080,      +9.9477768,    +11.355965,    +10.520740,     5,  1260,  1111,AP27898828, SR
        515609756863,    +270.8603393,     -33.2365062,      +0.6979134,     +10.8998940,     +19.5854327,     +1.013671,     +0.222734,      +1.0000000,      +0.9524920,     +10.1740284,    +11.435270,    +10.687202,     1,   732,   229,    332991, SR
        515570395732,    +269.5029139,     -30.8202202,     +18.8106409,     +27.6206199,     +27.6206199,     +0.938820, -9.999995E008,      +1.0000000,      +0.9174230,  -9.9999999E008, -9.999995E008,    +10.584174,     4,   497,   286,    324714, SR
        515542529720,    +259.4884861,     -29.3698236,      +2.5381043,     +28.3666120,     +20.4801773,     +0.672406,     +0.267147,      +0.9375000,      +0.7750000,     +11.3533010,    +12.022486,    +11.625579,     1,   174,    97,    372035, SR
        515539094706,    +268.6796839,     -29.0196911,     +10.3599307,      +4.9095787,     +29.4171821,     +0.917762,     +0.396234,      +0.8888890,      +0.8500000,     +10.8266802,    +11.925571,    +11.273797,     3,   328,   264,    232821, SR
        515522199810,    +263.8608479,     -27.5171371,     +13.8696677,     +26.0328117,      +8.8160506,     +1.354109,     +0.248614,      +0.9230770,      +0.7996150,      +9.5800886,    +10.976400,    +10.148220,     1,   179,     4,    352070, SR
        515621309387,    +268.1794615,     -34.1920283,      +1.9982114,     +28.1387042,     +26.1647611,     +1.607253,     +0.061926,      +1.0000000,      +0.8500000,     +10.6602783,    +11.555271,    +11.024433,     3,   140,    86,    371365, SR
        515621064531,    +268.3716495,     -34.7496003,     +10.3044248,      +0.0711059,     +28.2539249,     +0.744315,     +0.649219,      +1.0000000,      +0.7905350,     +10.2696877,    +11.726785,    +10.862552,     1,    67,    33,    326241, SR
        515592385686,    +265.1017289,     -32.7502788,     +25.3504912,      +3.6266067,      +7.2531404,     +0.263553,     +1.211230,      +0.7755100,      +0.6785710,     +13.0777235,    +16.091434,    +14.303943,     2,    13,     1,AP27909310, SR
        515559530481,    +268.2687913,     -30.2995781,      +4.7969213,      +1.8628037,     +23.5277136,     +0.924211,     +0.137160,      +1.0000000,      +0.9174230,     +10.1540031,    +11.140149,    +10.555246,     1,   131,    42,    234700, SR
        515514474522,    +272.6079200,     -26.9661481,     +20.6785813,     +14.6155641,     +21.5646515,     +1.257619, -9.999995E008,      +1.0000000,      +0.8901680,      +9.6830091,    +11.089666,    +10.255350,     4,   297,    74,AP28074917, SR
        515421109108,    +264.4301236,     -22.3692697,     +22.6252969,      +0.0987442,      +0.0987442,     +0.421227,     +0.399569,      +0.8333330,      +0.8098080,     +10.8216610,    +12.323079,    +11.432558,     2,     1,     1,    440547, SR
        515457319554,    +266.4012574,     -24.2082304,      +9.9680054,      +2.2547494,      +1.2518247,     +0.467207,     +0.534759,      +0.9285710,      +0.7905350,     +10.7343235,    +12.357580,    +11.394794,     1,     5,     1,    254153, SR
        515482688392,    +272.0917755,     -26.0748450,     +14.2408701,     +20.4841281,      +6.3858323,     +1.200626,     +0.252634,      +0.9523810,      +0.7463960,     +10.5820303,    +11.989035,    +11.154512,     1,     7,     3,    214942, SR
        515588952739,    +271.4366256,     -31.2799276,      +1.7424185,      +1.7424185,      +1.7422433,     +0.130012,     +0.467148,      +0.8311690,      +0.6525650,     +12.8814125,    +13.874227,    +13.285369,     5,     1,     1,    297511, SR
        515597343149,    +272.1848847,     -32.2197882,      +0.1051522,      +0.1051522,      +0.1051522,     +0.319546,     +0.140285,      +1.0000000,      +0.7337120,     +11.0871429,    +11.651732,    +11.316863,     5,     1,     1,    469380, SR
        515611546984,    +267.6698791,     -33.0114308,     +11.7702835,     +13.9090468,      +2.7160811,     +0.367339,     +0.771168,      +0.8125000,      +0.7750000,     +10.3534031,    +12.364312,    +11.171602,     1,     1,     1,    379876, SR
        515633830561,    +266.4009766,     -34.0768473,     +17.2411018,     +24.6050322,      +2.4241538,     +0.509229,     +0.736586,      +1.0000000,      +0.8500000,      +9.7106552,    +11.637387,    +10.494604,     1,     4,     1,    558256, SR
        515633850795,    +266.4263770,     -34.0439863,      +4.4474935,     +20.2928867,      +1.8862972,     +1.282943,     +0.316618,      +0.8571430,      +0.7905350,      +9.4772902,    +11.029410,    +10.108817,     1,     2,     2,    368292, SR
        515633850795,    +266.4263770,     -34.0439863,      +4.4474935,     +20.2928867,      +1.8862972,     +1.282943,     +0.316618,      +0.8571430,      +0.7905350,      +9.4772902,    +11.029410,    +10.108817,     1,     2,     2,    444558, SR
        515642814247,    +267.7209581,     -34.5859675,      +0.0368675,      +0.0368675,      +0.0368675,     +0.713021, -9.999995E008,      +1.0000000,      +0.7463960,     +10.2668629,    +11.315879,    +10.693686,     4,     1,     1,    375723, SR
        515621660752,    +268.4489463,     -33.6278001,      +8.8975805,      +1.5190656,      +6.6250147,     +0.640011,     +0.506394,      +1.0000000,      +0.7996150,     +10.3754253,    +11.847921,    +10.974555,     1,    23,     6,AP27814597, SR
        515569902456,    +269.3629000,     -31.7370846,     +15.3051794,     +13.2119078,     +14.3258892,     +0.731295,     +0.307350,      +1.0000000,      +0.9524920,     +10.3230629,    +11.579374,    +10.834231,     4,   471,   444,    501111, SR
        515611557582,    +267.3677211,     -32.8442721,     +29.9031298,     +13.0574215,     +24.3802616,     +0.769207,     +0.599733,      +1.0000000,      +0.9524920,      +9.4459763,    +11.405414,    +10.243233,     3,   327,    36,    369666, SR
        515611557582,    +267.3677211,     -32.8442721,     +29.9031298,     +13.0574215,     +24.3802616,     +0.769207,     +0.599733,      +1.0000000,      +0.9524920,      +9.4459763,    +11.405414,    +10.243233,     3,   327,    36,    236603, SR
        515548426339,    +269.5446579,     -29.8180654,     +20.5284697,     +15.7617518,     +12.6640995,     +0.828194,     +0.145095,      +0.8000000,      +0.7823790,     +10.7220354,    +11.851666,    +11.181660,     2,   209,    19,    320349, SR
        515548426339,    +269.5446579,     -29.8180654,     +20.5284697,     +15.7617518,     +12.6640995,     +0.828194,     +0.145095,      +0.8000000,      +0.7823790,     +10.7220354,    +11.851666,    +11.181660,     2,   209,    19,    300568, SR
        515526616343,    +271.1760476,     -28.2100122,      +3.9520950,      +9.2414607,     +15.8071427,     +0.824525,     +0.280314,      +1.0000000,      +0.7996150,     +10.2907047,    +11.489344,    +10.778407,     3,  7802,   180,    316776, SR
        515526434638,    +270.5422275,     -28.3067547,      +3.7572531,     +14.7228786,     +11.9137183,     +1.910781,     +0.106437,      +0.7083330,      +0.6560660,     +10.5865345,    +11.514208,    +10.963986,     3,    26,     3,    289881, SR
        515483298625,    +272.6905000,     -25.2723849,     +25.4055809,      +2.7050317,     +28.5364723,     +0.690055, -9.999995E008,      +1.0000000,      +0.8901680,  -9.9999999E008, -9.999995E008,    +10.874138,     2,   195,     7,    223631, SR
        515591424756,    +268.7405745,     -32.3598070,      +7.5669051,     +29.6177421,     +12.0524843,     +0.190652,     +0.718633,      +0.8723400,      +0.6812790,     +11.4347620,    +13.083773,    +12.105712,     2,   898,   691,    334790, SR
        515436632371,    +266.8596611,     -23.0622538,     +14.0942264,      +2.0941028,      +2.0941028,     +0.524132,     +0.380111,      +0.9473680,      +0.7564740,     +11.0655260,    +12.266738,    +11.554276,     2,   719,    64,    444513, SR
        515528174688,    +268.0328238,     -28.4141759,      +1.0028896,     +24.8861882,     +24.8861882,     +0.612468,     +0.333323,      +0.8695650,      +0.6826980,     +11.5672512,    +12.378616,    +11.897380,     2,  1021,   400,    438582, SR
        515476480647,    +275.2590957,     -24.7427940,      +8.3314754,      +8.3314754,     +10.0699286,     +0.969473,     +0.174175,      +0.8888890,      +0.8500000,      +9.7891245,    +10.734220,    +10.173665,     1,   279,   104,AP28079396, SR
        515459057478,    +263.5737734,     -23.6967310,     +14.6575022,     +23.5407992,     +22.5404487,     +0.512407,     +0.367936,      +0.8888890,      +0.8500000,      +9.7999887,    +11.360586,    +10.434965,     4,   221,    53,    440793, SR
        515418131157,    +270.7760156,     -21.8978004,     +26.0015606,     +13.3717031,      +0.3936892,     +0.728652,     +0.209676,      +1.0000000,      +0.8901680,     +11.3404036,    +11.646177,    +11.464817,     1,     1,     1,AP28193603, SR
        515494818966,    +270.1546437,     -27.1434070,     +11.0007662,     +22.8528653,      +2.4936789,     +1.114080,     +0.401632,      +1.0000000,      +0.9174230,      +9.5365219,    +11.355030,    +10.276437,     1,     3,     2,    253449, SR
        515527988729,    +267.7024110,     -28.4899203,      +1.8831217,      +1.8831217,      +1.8831217,     +0.368020,     +0.217725,      +0.9629630,      +0.7232050,     +11.3716621,    +12.002830,    +11.628471,     5,     1,     1,    375297, SR
        515534247408,    +262.1671841,     -29.3198607,      +9.9044814,     +19.2477952,      +4.3466457,     +1.517829,     +0.378636,      +1.0000000,      +0.9524920,     +10.2242107,    +11.784260,    +10.858964,     1,     5,     2,    385580, SR
        515538801950,    +268.6502134,     -29.5276647,     +23.2974090,      +8.6469011,      +8.6466763,     +0.913692,     +0.380971,      +0.9000000,      +0.8346050,      +9.6724367,    +11.305861,    +10.337045,     2,     4,     3,    241475, SR
        515560031269,    +267.8512239,     -29.9331398,      +8.0403594,     +28.6230312,      +0.0102499,     +0.336648,     +0.997765,      +0.9148940,      +0.6812790,     +11.3272324,    +13.816214,    +12.339950,     1,     1,     1,    612282, SR
        515570026344,    +268.9056427,     -31.2568249,      +0.0973502,      +0.0974890,      +0.0973502,     +0.414626,     +0.484432,      +0.9565220,      +0.6826980,     +10.7852907,    +12.308086,    +11.404886,     5,     1,     1,    313797, SR
        515579331030,    +270.6002073,     -31.1415337,      +1.7875507,      +1.7875507,      +1.7875507,     +0.314350,     +0.413362,      +0.9387760,      +0.6785710,     +13.3582401,    +14.644395,    +13.881551,     5,     1,     1,    556728, SR
        515579331030,    +270.6002073,     -31.1415337,      +1.7875507,      +1.7875507,      +1.7875507,     +0.314350,     +0.413362,      +0.9387760,      +0.6785710,     +13.3582401,    +14.644395,    +13.881551,     5,     1,     1,    253181, SR
        515658909068,    +266.7585635,     -37.0887965,     +28.4366199,      +0.7636347,      +0.7634984,     +0.176880,     +0.629361,      +0.7241380,      +0.7171260,     +10.5773935,    +12.243278,    +11.255209,     2,     1,     1,    282957, SR
        515526392793,    +270.5598642,     -28.4010003,     +21.4523865,      +0.5056006,     +29.9017948,     +1.340150,     +0.187788,      +0.8275860,      +0.7171260,     +10.7156143,    +11.666242,    +11.102406,     2,   328,    82,    631140, SR
        515526151251,    +270.7150733,     -28.9737272,      +3.4336943,     +17.3879983,     +26.6496566,     +1.495619,     -0.133421,      +0.8333330,      +0.8098080,      +9.7704573,    +10.771180,    +10.177631,     2,    27,     3,    323901, SR
        515526055080,    +270.2886578,     -28.9587636,     +14.2954974,     +22.7537616,      +4.5023494,     +0.950924,     +0.320387,      +0.9411760,      +0.7682820,      +9.8954430,    +11.256824,    +10.449362,     1,    11,     2,    305730, SR
        515522207286,    +263.7604490,     -27.4459768,      +4.3037555,     +11.8889250,     +12.0966030,     +1.797249,     +0.123710,      +0.8571430,      +0.7905350,      +9.4451742,    +10.921165,    +10.045726,     2,    31,    16,    352865, SR
        515642704845,    +267.7744289,     -34.8187750,      +3.0082297,     +17.0275962,     +17.0275962,     +0.480752, -9.999995E008,      +0.9583330,      +0.6799040,     +14.0720377,    +15.634511,    +14.707777,     3,    52,    44,    287022, SR
        515633927382,    +266.5662433,     -33.9463806,     +28.7244864,     +17.7499780,     +16.7468955,     +1.139327,     +0.078818,      +1.0000000,      +0.8901680,      +9.6952686,    +10.813743,    +10.150353,     2,    32,     3,    366778, SR
        515630726148,    +270.3419234,     -34.7595264,     +18.2726198,     +11.4673485,      +2.3804376,     +1.433158,     +0.010740,      +0.8750000,      +0.8681980,     +11.4517870,    +11.691487,    +11.549316,     2,    26,     3,AP27798704, SR
        515578759311,    +269.7981473,     -31.9257687,     +13.4302517,      +8.8606829,      +9.8637707,     +0.770694,     +0.419224,      +0.8947370,      +0.7564740,     +10.2115450,    +11.545022,    +10.754110,     1,   110,    13,    324819, SR
        515578695687,    +269.9351895,     -32.1332278,     +17.3098948,      +8.7289049,      +8.7290848,     +1.884224,     +0.133892,      +0.9090910,      +0.8213600,      +9.9103069,    +10.951754,    +10.334051,     3,    86,    11,    331774, SR
        515538642506,    +268.6814501,     -29.8390167,     +16.2235850,      +7.6448490,     +22.0781215,     +0.726906,     +0.427594,      +1.0000000,      +0.9174230,      +9.8147783,    +11.453722,    +10.481632,     1,    73,    20,    230706, SR
        515526287504,    +270.2247747,     -28.4559194,     +21.5998151,      +3.0000265,     +28.8249808,     +0.763202,     +0.404496,      +0.8888890,      +0.7232050,     +10.7560196,    +12.235053,    +11.357809,     2,   343,   106,    320655, SR
        515613936661,    +257.6815992,     -33.1360814,     +13.1295723,     +18.1409906,     +18.9647158,     +0.758472,     +0.251309,      +0.8750000,      +0.8681980,     +10.4629097,    +11.676859,    +10.956841,     2,    21,     3,    407933, SR
        515559765083,    +268.0154220,     -29.7956140,     +18.1120837,     +21.2882577,     +16.8745779,     +0.189413,     +1.289062,      +0.8235290,      +0.7043490,      +9.4964838,    +12.464953,    +10.704295,     3,    49,     4,    231547, SR
        515557930150,    +270.6066051,     -30.1131989,     +14.5038684,     +12.2270136,     +26.7260288,     +1.228855, -9.999995E008,      +1.0000000,      +0.9524920,  -9.9999999E008, -9.999995E008,    +11.218140,     3,    58,    29,    288182, SR
        515528171608,    +267.9469078,     -28.3807792,     +27.2658423,     +27.3521048,     +19.5564209,     +1.365766,     +0.257481,      +0.9000000,      +0.8346050,     +10.2263260,    +11.547943,    +10.764066,     1,  4442,  1051,    232540, SR
        515494930292,    +270.2863415,     -26.9935870,      +8.6451314,     +29.4374553,     +21.5351473,     +0.633847, -9.999995E008,      +0.9000000,      +0.7512460,  -9.9999999E008, -9.999995E008,    +10.727545,     3,   218,    59,AP28066357, SR
