# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
#
# Results of Query: Database VVVDR4 06/02/20 23:15
# select viva.vivaID,viva.ra,viva.dec,viva.freqSTR,viva.freqPDM,
# viva.freqLSG,(v.ksMaxMag-v.ksMinMag) as ksAmpl,s.jmhPnt,viva.kFi2,
# viva.faPcorrelation2,CASE WHEN (s.ksAperMag3>0 and s.jAperMag3>0 and 
# s.ksAperMag3<25 and s.jAperMag3<25) THEN (s.ksAperMag3 - 
# 0.686*(s.jAperMag3-s.ksAperMag3)) ELSE -9.9999999e8 END as wesenheit,
# s.jAperMag3,s.ksAperMag3,flagNfreq,flagFbias6,flagFbias7, u.upload_RA,
#  u.upload_Dec, u.varType from vvvVivaCatalogue as viva,vvvVariability 
# as v,vvvSource as s,#userTable as u  where v.sourceID=viva.vivaID and 
# v.ksMinMag>0. and v.ksnGoodObs>40 and viva.faPcorrelation2 > 0 and 
# s.sourceID=v.sourceID and v.sourceID=u.sourceID
# Column Headers at start of file AND below
#
# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
        515419715285,    +267.8543520,     -22.3741702,     +20.1204977,      +0.4111302,     +20.5297664,     +0.708393,     +0.600193,      +1.0000000,      +0.9174230,     +10.0182629,    +12.020664,    +10.833000,     2,    34,    20,    +267.8543750,     -22.3741700,OSARG
        515421238474,    +265.0856511,     -22.5621985,      +8.9253252,     +26.9367082,      +8.9249184,     +0.540413,     +0.502436,      +1.0000000,      +0.9174230,      +9.9959564,    +11.781779,    +10.722572,     2,     5,     2,    +265.0856250,     -22.5621700,OSARG
        515436625935,    +266.9198543,     -23.1068180,     +29.0135938,      +1.0469366,      +8.0693470,     +0.622041,     +0.681340,      +0.9000000,      +0.7512460,     +10.9392614,    +12.754040,    +11.677659,     1,   376,    73,    +266.9198750,     -23.1068100,OSARG
        515436999519,    +267.1643581,     -22.4945583,      +6.6980763,     +20.9066206,     +15.0944579,     +0.396695,     +0.644330,      +0.9200000,      +0.7300000,      +9.8531590,    +11.784942,    +10.639163,     1,  3748,  2808,    +267.1643750,     -22.4945300,OSARG
        515448136256,    +265.7987773,     -23.7120985,     +10.3558668,      +1.0126017,     +25.7700966,     +1.012428,     +0.362432,      +0.8750000,      +0.8681980,     +10.4747458,    +11.708702,    +10.976818,     2,    38,     6,    +265.7987500,     -23.7121100,OSARG
        515459064993,    +263.5529118,     -23.6627232,      +5.7089798,      +5.7089798,      +6.9662692,     +0.703972,     +0.194326,      +1.0000000,      +0.8346050,      +9.7386951,    +11.218193,    +10.340673,     1,    52,    15,    +263.5528750,     -23.6626900,OSARG
        515472045835,    +271.3737733,     -26.0862224,      +2.3828028,      +5.6202532,     +27.4652380,     +0.284654,     +0.784114,      +0.7428570,      +0.7021280,     +10.1174555,    +12.363056,    +11.031146,     1,    20,     5,    +271.3737500,     -26.0862500,OSARG
        515472156971,    +271.2429965,     -25.8850838,     +22.3732931,      +5.2697685,      +5.2695185,     +1.280724,     +0.485730,      +1.0000000,      +0.9174230,      +9.7214928,    +11.609052,    +10.489503,     2,    37,     4,    +271.2430000,     -25.8850800,OSARG
        515472277167,    +271.4271154,     -25.8252583,     +15.3194551,     +24.5880983,     +24.5880983,     +0.452188,     +0.570561,      +0.8947370,      +0.7564740,     +10.1009617,    +12.100858,    +10.914680,     3,   948,   583,    +271.4271250,     -25.8252800,OSARG
        515473007609,    +271.8087448,     -25.1678468,      +0.4677317,     +12.9429990,     +22.9224372,     +0.889024, -9.999995E008,      +1.0000000,      +0.8098080,     +10.0260906,    +11.757688,    +10.730643,     1,   310,   149,    +271.8087500,     -25.1678600,OSARG
