No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,10661,0,7,0,0,224,14,393,186,106,153,546,12290
0 < 100,OSARG,5553,103,4,0,24,128,22,624,618,143,1417,2690,11326
0 < 100,RRab,188,0,246,22,1,317,297,4888,2640,390,2682,123,11794
0 < 100,RRc,139,13,33,145,6,272,1310,5510,1754,989,1391,56,11618
0 < 100,SRV,7780,15,6,2,239,764,56,418,320,309,451,1302,11662
0 < 100,clasCep,27,0,11,2,0,1746,75,40,60,83,236,16,2296
0 < 100,clasOvertoneCep,14,0,2,8,0,234,730,51,41,77,58,0,1215
0 < 100,contactBinary,327,1,23,24,2,251,193,6817,2938,288,1000,115,11979
0 < 100,detachedBinary,160,1,8,6,5,381,100,1626,8855,176,275,69,11662
0 < 100,dsct,43,0,0,0,0,178,76,31,53,511,32,5,929
0 < 100,t2Cep,35,0,0,0,0,197,86,395,210,62,4187,470,5642
0 < 100,t2RVTau,42,0,0,0,0,12,0,17,2,5,126,767,971
100 < 200,Mira,1821,0,6,0,0,6,0,1,2,6,7,9,1858
100 < 200,OSARG,385,1585,38,0,194,81,9,53,90,8,109,102,2654
100 < 200,RRab,14,2,677,98,3,65,22,323,230,11,211,8,1664
100 < 200,RRc,4,11,88,490,1,34,78,314,219,28,86,3,1356
100 < 200,SRV,421,175,37,4,2210,35,2,12,8,13,57,78,3052
100 < 200,clasCep,0,0,14,6,2,2296,115,6,1,4,150,4,2598
100 < 200,clasOvertoneCep,0,0,0,7,0,86,1300,2,6,6,25,0,1432
100 < 200,contactBinary,5,7,47,63,0,27,23,556,218,11,79,1,1037
100 < 200,detachedBinary,18,4,9,24,3,14,17,240,718,11,37,2,1097
100 < 200,dsct,0,3,0,0,0,1,0,0,0,59,0,0,63
100 < 200,t2Cep,2,1,5,4,3,32,24,12,15,0,1685,0,1783
100 < 200,t2RVTau,0,0,0,0,0,0,0,0,0,1,2,69,72
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,98,0,0,2,0,0,0,0,0,1,0,101
1000 < 1100,RRab,0,0,67,17,0,0,0,0,0,0,3,0,87
1000 < 1100,RRc,0,0,4,82,0,0,0,0,0,0,2,0,88
1000 < 1100,SRV,1,4,0,0,56,0,0,0,0,0,2,0,63
1000 < 1100,contactBinary,0,0,0,0,0,0,0,2,1,0,0,0,3
1000 < 1100,detachedBinary,0,0,2,0,0,0,0,1,3,0,0,0,6
1000 < 1100,dsct,0,0,0,0,0,0,0,0,0,426,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,0,6,0,6
10000 < 10100,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10100 < 10200,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
10300 < 10400,RRab,0,0,0,1,0,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,1,0,0,0,0,1
10400 < 10500,RRc,0,0,0,1,0,0,0,0,0,0,1,0,2
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10600 < 10700,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,258,0,0,17,0,0,0,1,1,0,0,277
1100 < 1200,RRab,0,0,6,4,0,0,0,0,1,0,0,0,11
1100 < 1200,RRc,0,0,2,16,0,0,0,0,0,0,0,0,18
1100 < 1200,SRV,1,11,0,0,157,0,0,0,0,0,2,1,172
1100 < 1200,contactBinary,0,0,0,2,0,0,0,7,0,0,1,0,10
1100 < 1200,detachedBinary,0,0,1,1,0,0,0,2,6,0,0,0,10
1100 < 1200,dsct,3,0,0,0,0,0,0,0,0,120,0,0,123
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,3,2,0,0,0,0,0,0,0,0,5
11000 < 11100,RRc,0,0,0,2,0,0,0,0,0,0,1,0,3
11100 < 11200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11100 < 11200,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11200 < 11300,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
11200 < 11300,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11300 < 11400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11400 < 11500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
11500 < 11600,RRab,0,0,0,1,0,0,0,0,0,0,0,0,1
11500 < 11600,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11600 < 11700,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11600 < 11700,RRc,0,0,0,2,0,0,0,0,0,0,1,0,3
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,3,0,0,0,0,0,0,0,1,1,5
11700 < 11800,RRc,0,0,1,6,1,0,0,0,0,0,0,0,8
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
11800 < 11900,RRab,0,0,1,1,0,0,0,0,0,0,0,0,2
11800 < 11900,RRc,0,0,0,2,0,0,0,0,0,0,1,0,3
11900 < 12000,RRab,0,0,5,0,0,0,0,0,0,0,0,0,5
1200 < 1300,Mira,66,0,0,0,3,0,0,0,0,0,0,0,69
1200 < 1300,OSARG,0,64,0,0,6,0,0,0,0,0,0,0,70
1200 < 1300,RRab,0,0,13,8,0,0,0,1,0,0,0,0,22
1200 < 1300,RRc,0,0,0,16,0,0,0,0,0,0,0,0,16
1200 < 1300,SRV,0,3,0,0,65,0,0,0,0,0,0,0,68
1200 < 1300,contactBinary,0,0,4,2,0,0,0,5,1,0,1,0,13
1200 < 1300,detachedBinary,0,1,2,0,0,0,0,2,12,1,0,0,18
1200 < 1300,dsct,0,0,0,0,0,0,0,0,0,78,0,0,78
1200 < 1300,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
12000 < 12100,RRc,0,0,0,7,0,0,0,0,0,0,1,0,8
12100 < 12200,RRab,0,0,4,3,0,0,0,0,0,0,1,0,8
12100 < 12200,RRc,0,0,0,4,0,0,0,0,0,0,2,0,6
12200 < 12300,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
12200 < 12300,RRc,0,0,1,8,0,0,0,0,0,0,2,0,11
12300 < 12400,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
12400 < 12500,RRab,0,0,5,1,0,0,0,0,0,0,0,0,6
12400 < 12500,RRc,0,0,0,12,0,0,0,0,0,0,0,0,12
12500 < 12600,RRab,0,0,12,1,0,0,0,0,0,0,0,0,13
12500 < 12600,RRc,0,0,1,10,0,0,0,0,0,0,3,0,14
12500 < 12600,contactBinary,0,0,0,2,0,0,0,0,0,0,0,0,2
12600 < 12700,RRab,0,0,8,2,0,0,0,0,0,0,1,0,11
12600 < 12700,RRc,0,1,0,31,0,0,0,0,1,0,4,0,37
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,105,12,0,0,0,0,0,0,1,0,118
12700 < 12800,RRc,0,0,2,137,0,0,0,0,0,0,2,0,141
12700 < 12800,clasCep,0,0,1,0,0,2,0,0,0,0,0,0,3
12700 < 12800,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
12800 < 12900,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
12800 < 12900,contactBinary,0,0,0,0,0,0,0,0,0,0,1,0,1
12900 < 13000,RRab,0,0,1,0,0,0,0,0,0,0,1,0,2
