No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
0 < 100,Mira,2079,9,69,0,1,5359,84,64,491,2963,1598,12717
0 < 100,OSARG,302,142,466,2,20,6768,94,150,175,2882,297,11298
0 < 100,RRab,6,295,248,30,39,3372,2713,1247,1887,1946,38,11821
0 < 100,RRc,3,1005,36,141,73,1649,5046,773,1887,1012,32,11657
0 < 100,SRV,1061,94,161,3,239,5988,308,104,440,2936,842,12176
0 < 100,clasCep,68,13,23,4,9,1161,409,36,60,556,60,2399
0 < 100,clasOvertoneCep,19,30,3,14,4,181,725,25,54,166,10,1231
0 < 100,contactBinary,9,669,20,29,49,3253,2987,922,1619,2322,89,11968
0 < 100,detachedBinary,6,616,13,10,47,3049,3001,642,2568,1587,92,11631
0 < 100,t2Cep,177,205,28,24,91,1672,788,443,427,1699,107,5661
0 < 100,t2RVTau,31,3,4,0,0,444,18,4,23,338,105,970
100 < 200,Mira,6933,0,2,0,17,156,2,13,22,214,98,7457
100 < 200,OSARG,34,1600,37,0,215,298,2,47,29,399,18,2679
100 < 200,RRab,0,14,688,148,3,84,84,290,178,187,0,1676
100 < 200,RRc,0,24,90,458,2,20,171,268,163,128,1,1325
100 < 200,SRV,512,237,14,2,2646,628,227,965,938,2666,445,9280
100 < 200,clasCep,0,0,9,0,0,3111,315,27,18,225,3,3708
100 < 200,clasOvertoneCep,0,0,0,6,2,106,1493,11,0,57,0,1675
100 < 200,contactBinary,0,21,44,43,2,56,84,487,170,145,2,1054
100 < 200,detachedBinary,1,49,17,20,3,13,60,295,483,127,3,1071
100 < 200,t2Cep,18,181,29,39,60,315,137,372,187,1671,11,3020
100 < 200,t2RVTau,1,0,0,0,0,0,0,2,0,46,238,287
1000 < 1100,Mira,56,0,0,0,0,0,0,0,0,0,1,57
1000 < 1100,OSARG,0,50,0,0,14,0,0,0,1,0,0,65
1000 < 1100,RRab,0,0,66,11,0,0,1,1,0,4,0,83
1000 < 1100,RRc,0,0,1,91,0,0,0,0,0,0,0,92
1000 < 1100,SRV,1,2,0,0,47,1,0,0,0,1,1,53
1000 < 1100,contactBinary,0,0,2,0,0,0,0,0,0,1,0,3
1000 < 1100,detachedBinary,0,0,0,0,0,0,0,1,5,0,0,6
1000 < 1100,t2Cep,0,0,0,0,0,1,0,0,0,14,0,15
10100 < 10200,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,1,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRc,0,0,0,3,0,0,0,0,0,0,0,3
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,1
