No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
0 < 100,Mira,8485,622,9,28,2638,103,18,418,65,43,300,12729
0 < 100,OSARG,461,9101,97,97,1063,1,20,134,214,62,57,11307
0 < 100,RRab,159,115,4927,1769,117,137,28,2218,1788,445,59,11762
0 < 100,RRc,96,55,1248,7191,75,180,80,1298,1126,216,40,11605
0 < 100,SRV,3947,1913,45,222,3998,626,174,327,225,165,479,12121
0 < 100,clasCep,56,30,87,78,62,1482,67,91,83,346,52,2434
0 < 100,clasOvertoneCep,20,14,37,161,15,298,486,37,44,82,5,1199
0 < 100,contactBinary,276,139,1591,2618,193,188,43,4070,2347,408,96,11969
0 < 100,detachedBinary,109,148,579,586,121,410,64,1453,7992,113,61,11636
0 < 100,t2Cep,57,101,665,437,121,242,56,419,205,2858,580,5741
0 < 100,t2RVTau,53,97,3,15,94,17,4,22,9,72,571,957
100 < 200,Mira,6991,82,6,1,369,30,1,0,2,0,77,7559
100 < 200,OSARG,44,2149,29,10,347,3,10,17,37,23,8,2677
100 < 200,RRab,3,28,770,249,18,48,14,225,155,126,6,1642
100 < 200,RRc,4,17,147,825,5,25,34,148,109,60,1,1375
100 < 200,SRV,924,648,366,831,4050,457,694,225,460,597,188,9440
100 < 200,clasCep,39,58,105,18,53,2563,239,66,26,457,73,3697
100 < 200,clasOvertoneCep,3,5,32,55,0,229,1217,31,6,92,0,1670
100 < 200,contactBinary,5,25,137,178,17,12,7,472,129,82,7,1071
100 < 200,detachedBinary,12,22,81,116,16,15,13,204,543,36,1,1059
100 < 200,t2Cep,66,96,153,126,104,397,105,58,94,1683,121,3003
100 < 200,t2RVTau,48,12,4,0,46,20,0,3,10,32,123,298
1000 < 1100,Mira,56,0,0,0,0,0,0,0,0,0,1,57
1000 < 1100,OSARG,0,65,0,1,6,0,0,0,0,0,0,72
1000 < 1100,RRab,0,0,70,12,0,0,0,1,0,0,0,83
1000 < 1100,RRc,0,1,5,72,0,0,0,0,0,0,0,78
1000 < 1100,SRV,2,5,0,2,65,2,0,0,0,1,1,78
1000 < 1100,contactBinary,0,0,0,0,0,0,0,0,1,0,0,1
1000 < 1100,detachedBinary,0,0,0,4,0,0,0,1,6,0,0,11
1000 < 1100,t2Cep,0,0,0,0,0,9,0,0,0,6,0,15
10000 < 10100,RRab,0,0,0,2,0,0,0,0,0,0,0,2
10100 < 10200,RRab,0,0,2,0,0,0,0,0,0,1,0,3
10200 < 10300,RRab,0,0,2,0,0,0,0,0,0,0,0,2
10200 < 10300,RRc,0,0,0,3,0,0,0,0,0,0,0,3
10300 < 10400,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRc,0,0,0,1,0,0,0,0,0,2,0,3
10400 < 10500,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10500 < 10600,contactBinary,0,0,0,0,0,0,0,0,1,0,0,1
10600 < 10700,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10600 < 10700,RRc,0,0,0,2,0,0,0,0,0,0,0,2
10700 < 10800,RRab,0,0,1,0,0,0,0,0,0,1,0,2
10700 < 10800,RRc,0,0,0,1,0,0,0,0,0,0,0,1
10800 < 10900,RRab,0,0,2,0,0,0,0,0,0,0,0,2
10900 < 11000,RRab,0,0,2,0,0,0,0,0,0,0,0,2
10900 < 11000,RRc,0,0,0,6,0,0,0,0,0,1,0,7
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,221,0,0,14,0,0,0,0,0,0,235
1100 < 1200,RRab,0,0,8,0,0,0,0,0,0,0,0,8
1100 < 1200,RRc,0,0,0,18,0,0,0,0,0,1,0,19
1100 < 1200,SRV,4,15,0,2,140,1,0,0,0,2,1,165
1100 < 1200,clasCep,0,0,0,0,0,6,0,0,0,0,0,6
1100 < 1200,contactBinary,0,0,0,5,0,0,0,2,1,0,0,8
1100 < 1200,detachedBinary,0,0,5,1,0,0,0,4,5,0,0,15
1100 < 1200,t2Cep,0,3,0,3,0,0,0,0,0,4,2,12
11000 < 11100,RRab,0,0,1,0,0,0,0,0,0,0,0,1
11000 < 11100,RRc,0,0,0,2,0,0,0,0,0,0,0,2
11100 < 11200,RRab,0,0,1,0,0,0,0,0,0,0,0,1
11100 < 11200,RRc,0,0,0,3,0,0,0,0,0,0,0,3
11200 < 11300,RRab,0,0,1,0,0,0,0,0,0,1,0,2
11200 < 11300,RRc,0,0,0,1,0,0,0,0,0,0,0,1
11300 < 11400,RRab,0,0,1,0,0,0,0,0,0,0,0,1
11300 < 11400,RRc,0,0,2,3,0,0,0,0,0,0,0,5
11400 < 11500,RRc,0,0,0,3,0,0,0,0,0,0,0,3
11500 < 11600,RRab,0,0,3,0,1,0,0,0,0,0,0,4
11500 < 11600,RRc,0,0,0,1,0,0,0,0,0,0,0,1
11600 < 11700,RRab,0,0,5,0,0,0,0,0,0,0,0,5
11600 < 11700,RRc,0,0,0,3,0,0,0,0,0,1,0,4
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,1,0,0,0,0,0,0,1,0,2
11700 < 11800,RRc,0,0,0,9,0,0,0,0,0,0,0,9
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
11800 < 11900,RRab,0,0,1,0,0,0,0,0,0,0,0,1
11800 < 11900,RRc,0,0,0,3,0,0,0,0,0,0,0,3
11900 < 12000,RRab,0,0,6,1,0,0,0,0,0,2,0,9
1200 < 1300,Mira,68,0,0,0,1,0,0,0,0,0,0,69
1200 < 1300,OSARG,0,67,0,0,6,0,0,0,0,0,0,73
1200 < 1300,RRab,0,0,18,2,0,0,0,1,0,0,0,21
1200 < 1300,RRc,0,0,0,26,0,0,0,0,0,0,0,26
1200 < 1300,SRV,0,8,0,0,54,0,0,0,0,0,0,62
1200 < 1300,contactBinary,0,0,1,0,0,0,0,5,2,2,0,10
1200 < 1300,detachedBinary,0,0,2,4,0,0,0,5,8,0,0,19
1200 < 1300,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,5,0,0,0,0,0,0,1,1,7
12000 < 12100,RRc,0,0,0,6,0,0,0,0,0,1,0,7
12000 < 12100,contactBinary,0,0,0,2,0,0,0,0,0,0,0,2
12100 < 12200,RRab,0,0,5,0,0,0,0,0,0,0,0,5
12100 < 12200,RRc,0,0,0,6,0,0,0,0,0,0,0,6
12200 < 12300,RRab,0,0,3,0,0,0,0,0,0,0,0,3
12200 < 12300,RRc,0,0,0,8,0,0,0,0,0,2,0,10
12300 < 12400,RRab,0,0,4,1,0,0,0,0,0,0,0,5
12300 < 12400,RRc,0,0,0,3,0,0,0,0,0,0,0,3
12400 < 12500,RRab,0,0,3,1,0,0,0,0,0,1,0,5
12400 < 12500,RRc,0,0,0,10,0,0,0,0,0,0,0,10
