No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,8911,559,60,10,10,1988,93,17,274,148,80,150,393,12693
0 < 100,OSARG,563,8987,150,99,1,967,8,8,99,223,16,78,107,11306
0 < 100,RRab,161,99,5727,1932,122,125,138,28,1118,1743,33,593,78,11897
0 < 100,RRc,95,55,1436,7323,190,86,144,58,806,1113,96,279,35,11716
0 < 100,RRd,5,0,66,228,113,5,3,2,28,31,0,16,1,498
0 < 100,SRV,4079,1779,95,128,14,3632,569,54,332,283,195,349,595,12104
0 < 100,clasCep,27,4,78,46,0,26,1465,77,86,78,111,383,19,2400
0 < 100,clasOvertoneCep,12,2,26,144,1,12,150,581,59,45,101,74,0,1207
0 < 100,contactBinary,382,111,2123,2694,136,141,139,44,3013,2446,97,661,138,12125
0 < 100,detachedBinary,151,114,986,813,70,90,280,86,1164,7710,148,323,60,11995
0 < 100,dsct,50,12,56,177,27,21,132,132,108,104,503,69,9,1400
0 < 100,t2Cep,78,75,652,395,20,47,165,40,185,159,69,3449,518,5852
0 < 100,t2RVTau,41,36,9,9,0,38,21,0,6,7,2,107,716,992
100 < 200,Mira,6190,38,3,0,0,101,98,0,11,2,2,564,506,7515
100 < 200,OSARG,72,2081,21,32,0,300,8,10,40,23,1,35,6,2629
100 < 200,RRab,20,24,804,319,32,22,997,108,514,107,9,1699,48,4703
100 < 200,RRc,3,9,129,851,44,8,340,206,1916,95,4,822,3,4430
100 < 200,RRd,1,0,6,11,94,1,47,4,38,3,0,97,4,306
100 < 200,SRV,525,329,19,22,1,2765,276,268,1730,95,2,2941,426,9399
100 < 200,clasCep,0,1,6,6,0,1,2992,257,34,0,6,232,7,3542
100 < 200,clasOvertoneCep,0,0,0,14,0,0,55,1479,13,3,6,64,0,1634
100 < 200,contactBinary,4,28,105,203,9,8,108,101,2757,171,6,453,14,3967
100 < 200,detachedBinary,33,34,106,117,0,11,67,68,2668,1571,5,523,58,5261
100 < 200,dsct,0,32,20,40,6,3,348,490,2691,35,30,787,23,4505
100 < 200,t2Cep,0,2,17,36,0,2,76,35,64,10,0,2545,7,2794
100 < 200,t2RVTau,0,0,0,0,0,0,2,0,0,0,1,20,241,264
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,77,0,0,0,8,0,1,0,0,1,2,1,90
1000 < 1100,RRab,0,0,61,23,0,0,0,0,2,0,4,1,0,91
1000 < 1100,RRc,0,0,1,95,1,0,0,0,2,0,0,0,0,99
1000 < 1100,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1000 < 1100,SRV,1,1,0,0,0,62,0,0,0,0,0,3,1,68
1000 < 1100,contactBinary,0,0,0,0,0,0,0,0,2,1,0,0,0,3
1000 < 1100,detachedBinary,0,0,0,3,0,0,0,0,0,4,0,0,0,7
1000 < 1100,dsct,0,0,0,0,0,0,0,0,6,0,420,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,0,2,0,0,0,12,0,14
10000 < 10100,RRab,0,0,4,2,0,0,0,0,0,0,0,0,0,6
10100 < 10200,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10300 < 10400,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10400 < 10500,RRab,0,0,1,0,0,0,0,0,1,0,0,0,0,2
10400 < 10500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10600 < 10700,RRab,0,0,1,0,0,0,0,0,0,0,0,1,0,2
10600 < 10700,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10700 < 10800,RRab,0,0,2,0,0,0,0,0,0,0,0,1,0,3
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,214,0,2,0,11,0,0,0,0,0,2,0,229
1100 < 1200,RRab,0,0,15,0,0,0,0,0,2,0,0,0,0,17
1100 < 1200,RRc,0,0,1,16,0,1,0,0,0,0,0,2,0,20
1100 < 1200,SRV,3,14,0,0,0,177,0,0,0,0,0,8,1,203
