No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,8570,728,25,5,13,1876,96,2,382,94,85,91,762,12729
0 < 100,OSARG,441,8914,204,70,6,964,14,14,137,234,19,63,205,11285
0 < 100,RRab,128,125,6021,1576,140,101,135,12,1386,1563,64,574,130,11955
0 < 100,RRc,93,49,1805,6587,357,61,175,66,1101,1008,106,231,52,11691
0 < 100,RRd,4,2,95,200,107,3,3,0,48,35,4,11,5,517
0 < 100,SRV,3686,2075,102,123,6,3263,682,68,435,176,241,250,996,12103
0 < 100,clasCep,45,12,107,50,6,12,1459,56,98,62,90,360,46,2403
0 < 100,clasOvertoneCep,14,4,38,165,6,4,303,431,68,33,85,66,2,1219
0 < 100,contactBinary,298,114,2356,2236,171,98,178,50,3569,2118,111,589,218,12106
0 < 100,detachedBinary,150,122,1085,737,66,81,335,67,1512,7260,182,238,117,11952
0 < 100,dsct,42,19,70,184,6,12,252,108,119,75,451,80,17,1435
0 < 100,t2Cep,69,73,814,362,22,49,236,38,249,179,57,2927,644,5719
0 < 100,t2RVTau,43,72,9,5,0,36,22,0,24,3,9,70,683,976
100 < 200,Mira,5903,47,3,0,0,122,191,1,8,1,4,238,902,7420
100 < 200,OSARG,45,2139,26,10,2,323,12,13,40,43,6,26,14,2699
100 < 200,RRab,20,55,1023,196,55,87,1105,95,322,90,5,1567,86,4706
100 < 200,RRc,6,10,355,708,73,7,331,213,1272,83,12,1297,15,4382
100 < 200,RRd,3,1,10,18,88,3,53,4,17,1,0,89,6,293
100 < 200,SRV,443,231,43,82,0,2865,375,307,1252,128,14,3065,555,9360
100 < 200,clasCep,2,0,14,8,0,10,2782,238,21,1,7,436,22,3541
100 < 200,clasOvertoneCep,0,0,4,18,2,0,117,1400,13,0,4,87,2,1647
100 < 200,contactBinary,7,21,239,235,12,2,134,118,2305,134,10,759,27,4003
100 < 200,detachedBinary,27,25,172,146,14,25,76,104,2204,1983,12,603,78,5469
100 < 200,dsct,7,19,60,167,19,7,421,702,2003,57,39,1010,26,4537
100 < 200,t2Cep,0,6,51,41,2,2,121,36,45,9,1,2459,31,2804
100 < 200,t2RVTau,0,0,0,0,0,0,0,0,0,0,4,13,248,265
1000 < 1100,Mira,56,0,0,0,0,0,0,0,0,0,0,0,1,57
1000 < 1100,OSARG,0,80,0,0,0,2,0,0,0,0,0,0,1,83
1000 < 1100,RRab,0,0,61,11,0,0,0,0,0,0,1,1,0,74
1000 < 1100,RRc,0,0,2,85,1,0,0,0,0,0,0,0,0,88
1000 < 1100,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1000 < 1100,SRV,2,1,0,1,0,50,0,1,0,0,0,0,3,58
1000 < 1100,contactBinary,0,0,2,0,0,0,0,0,3,1,0,0,0,6
1000 < 1100,detachedBinary,0,0,0,0,0,0,0,0,0,4,0,0,0,4
1000 < 1100,dsct,0,0,0,0,0,0,0,0,2,0,424,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,0,0,15,0,15
10000 < 10100,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10100 < 10200,RRab,0,0,4,0,0,0,0,0,0,0,0,1,0,5
10200 < 10300,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
10400 < 10500,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10400 < 10500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
10400 < 10500,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10500 < 10600,detachedBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10600 < 10700,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,5,0,0,0,0,0,0,0,0,0,0,5
10800 < 10900,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
10900 < 11000,RRc,0,0,0,6,0,0,0,0,0,0,0,1,0,7
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,227,0,0,0,22,0,0,0,0,0,0,0,249
1100 < 1200,RRab,0,0,13,5,0,0,0,0,0,0,0,1,0,19
1100 < 1200,RRc,0,0,0,14,0,0,0,0,1,0,0,6,0,21
1100 < 1200,SRV,6,3,0,0,0,165,0,1,0,0,0,2,2,179
1100 < 1200,clasCep,0,0,0,0,0,0,5,0,0,0,0,0,0,5
1100 < 1200,contactBinary,0,0,0,5,0,0,0,0,6,1,0,0,0,12
1100 < 1200,detachedBinary,0,0,0,0,0,0,0,0,4,0,0,0,0,4
1100 < 1200,dsct,0,0,0,0,0,0,0,0,0,0,123,0,0,123
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,1,3,0,0,0,0,0,0,0,0,0,4
11000 < 11100,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11100 < 11200,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11100 < 11200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11200 < 11300,RRab,0,0,5,0,0,0,0,0,0,0,0,0,0,5
11200 < 11300,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11300 < 11400,RRab,0,0,1,0,0,0,0,0,0,1,0,0,0,2
11300 < 11400,RRc,0,0,0,4,0,0,0,0,0,0,0,1,0,5
11400 < 11500,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11400 < 11500,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11500 < 11600,RRab,0,0,1,0,0,1,0,0,0,0,0,0,0,2
11500 < 11600,RRc,0,0,0,0,0,0,0,0,0,0,0,3,0,3
11600 < 11700,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
11600 < 11700,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11700 < 11800,RRc,0,0,1,7,0,0,0,0,0,0,0,0,0,8
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
11800 < 11900,RRab,0,0,4,0,0,0,0,0,0,0,0,1,0,5
11800 < 11900,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
11900 < 12000,RRab,0,0,4,0,0,0,0,0,0,0,0,2,0,6
1200 < 1300,Mira,69,0,0,0,0,0,0,0,0,0,0,0,0,69
1200 < 1300,OSARG,0,79,0,0,0,8,0,0,2,0,0,0,0,89
1200 < 1300,RRab,0,0,9,4,0,0,1,0,0,0,0,1,0,15
1200 < 1300,RRc,0,0,0,9,0,0,0,1,0,0,0,0,0,10
1200 < 1300,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1200 < 1300,SRV,1,0,0,0,0,58,0,0,0,0,0,0,0,59
1200 < 1300,contactBinary,0,0,0,0,0,0,0,0,16,1,0,0,0,17
1200 < 1300,detachedBinary,0,0,1,0,0,1,0,0,4,4,0,0,0,10
1200 < 1300,dsct,0,0,0,3,0,0,0,0,0,1,74,0,0,78
1200 < 1300,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,3,0,0,0,0,0,0,0,0,1,0,4
12000 < 12100,RRc,0,0,1,10,0,0,0,0,0,0,0,0,0,11
12100 < 12200,RRab,0,1,3,0,0,0,0,0,0,0,0,2,0,6
12100 < 12200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
12200 < 12300,RRab,0,0,9,0,0,0,0,0,0,0,0,0,0,9
12200 < 12300,RRc,0,0,0,7,0,0,0,0,0,0,0,0,0,7
12300 < 12400,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
12300 < 12400,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
12400 < 12500,RRab,0,0,3,3,0,0,0,0,0,0,0,0,0,6
12400 < 12500,RRc,0,0,0,9,0,0,0,0,0,0,0,0,0,9
12400 < 12500,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
12500 < 12600,RRab,0,0,9,0,0,0,0,0,0,0,0,0,0,9
12500 < 12600,RRc,0,0,0,18,0,0,0,0,0,0,0,3,0,21
12600 < 12700,RRab,0,0,20,3,0,0,0,0,0,0,0,0,0,23
12600 < 12700,RRc,0,3,1,30,0,0,0,0,0,0,0,2,0,36
12600 < 12700,t2Cep,0,0,0,0,0,2,0,0,0,0,0,7,0,9
12700 < 12800,RRab,0,0,87,10,2,0,0,0,0,0,0,4,0,103
12700 < 12800,RRc,0,0,1,124,3,1,0,0,0,0,0,0,0,129
12700 < 12800,RRd,0,0,0,0,6,0,0,0,0,0,0,0,0,6
12700 < 12800,clasCep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
12700 < 12800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
12800 < 12900,RRab,0,0,5,0,0,0,0,0,0,0,0,1,0,6
12800 < 12900,contactBinary,0,0,0,0,0,0,0,0,0,0,0,1,0,1
12900 < 13000,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
12900 < 13000,RRc,0,0,0,3,0,0,0,0,0,0,0,2,0,5
1300 < 1400,Mira,639,0,0,0,0,3,0,0,0,0,0,0,0,642
1300 < 1400,OSARG,0,627,0,0,0,98,0,0,0,0,0,0,0,725
1300 < 1400,RRab,0,0,24,8,0,0,0,0,0,0,0,1,0,33
1300 < 1400,RRc,0,0,5,45,0,0,0,0,0,0,0,0,0,50
1300 < 1400,SRV,25,34,0,0,0,730,0,0,0,0,0,0,0,789
1300 < 1400,clasOvertoneCep,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1300 < 1400,contactBinary,0,0,3,1,0,0,0,0,43,13,0,1,0,61
1300 < 1400,detachedBinary,0,1,0,5,0,0,0,0,20,36,0,1,0,63
1300 < 1400,dsct,0,0,0,0,0,0,0,0,1,0,50,0,0,51
1300 < 1400,t2Cep,0,0,0,0,0,0,0,0,0,0,0,8,0,8
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,0,2,2,0,0,0,0,0,0,0,1,0,5
13000 < 13100,RRc,0,0,1,3,0,0,0,0,0,0,0,1,0,5
13100 < 13200,RRab,0,0,13,1,0,1,0,0,1,0,0,4,0,20
13100 < 13200,RRc,0,0,3,16,0,0,0,0,0,0,0,6,0,25
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,6,1,0,0,0,0,0,0,0,1,0,8
13200 < 13300,RRc,0,0,0,4,0,0,0,0,0,0,0,2,0,6
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,5,2,0,0,0,0,0,0,0,0,0,7
13300 < 13400,RRc,0,0,0,1,0,0,0,0,0,0,0,1,0,2
13400 < 13500,RRab,0,0,4,1,0,1,0,0,0,0,0,0,0,6
13400 < 13500,RRc,0,0,0,7,2,0,0,0,0,0,0,2,0,11
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,4,0,0,0,0,0,0,0,0,2,0,6
13500 < 13600,RRc,0,0,0,12,0,0,0,0,0,0,0,0,0,12
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,11,4,0,0,0,0,0,0,0,1,0,16
13600 < 13700,RRc,0,0,0,11,0,0,0,0,0,0,0,0,0,11
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,6,0,6
13700 < 13800,RRab,0,0,44,5,0,0,0,0,0,0,0,1,0,50
13700 < 13800,RRc,0,0,2,34,0,0,0,0,0,0,0,1,0,37
13700 < 13800,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,216,43,1,0,0,0,1,0,0,2,0,263
13800 < 13900,RRc,0,0,14,219,0,0,0,0,0,0,0,2,0,235
13800 < 13900,RRd,0,0,0,3,12,0,0,0,0,0,0,0,0,15
13800 < 13900,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,0,0,3
13800 < 13900,t2Cep,0,0,0,0,0,0,0,0,0,0,0,90,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3,6
13900 < 14000,RRab,0,0,3,0,0,0,0,0,0,0,0,1,0,4
13900 < 14000,RRc,0,0,0,1,0,0,0,0,0,0,0,1,0,2
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,459,0,0,0,0,3,0,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,736,0,0,0,77,0,0,0,1,0,0,0,814
1400 < 1500,RRab,0,0,85,20,0,0,0,0,0,0,0,4,0,109
1400 < 1500,RRc,0,1,1,118,1,0,0,0,0,0,0,1,0,122
1400 < 1500,RRd,0,0,2,0,7,0,0,0,0,0,0,0,0,9
1400 < 1500,SRV,3,13,0,0,0,662,0,0,0,0,0,0,0,678
1400 < 1500,contactBinary,0,0,0,6,0,0,0,0,241,50,0,0,0,297
1400 < 1500,detachedBinary,0,1,3,2,0,0,0,0,95,261,0,2,0,364
1400 < 1500,dsct,0,0,0,0,0,0,0,0,0,0,48,0,0,48
1400 < 1500,t2Cep,0,0,2,0,0,0,0,0,0,0,0,10,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
14100 < 14200,RRab,0,0,3,0,0,0,0,0,0,0,0,1,0,4
14200 < 14300,RRab,0,0,3,2,0,0,0,0,0,0,0,0,0,5
14200 < 14300,RRc,0,0,1,5,0,0,0,0,0,0,0,1,0,7
14200 < 14300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14300 < 14400,RRab,0,0,0,2,0,0,0,0,0,0,0,0,0,2
14300 < 14400,RRc,0,0,0,6,0,0,0,0,0,0,0,1,0,7
14400 < 14500,RRab,0,0,3,0,0,0,0,0,0,0,0,3,0,6
14400 < 14500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,4,0,0,0,0,0,0,0,0,1,0,5
14500 < 14600,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14600 < 14700,RRab,0,0,7,2,0,0,0,0,0,0,0,0,0,9
14600 < 14700,RRc,0,0,0,6,0,0,0,0,0,0,0,0,0,6
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14700 < 14800,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
14700 < 14800,RRc,0,0,0,11,0,0,0,0,0,0,0,0,0,11
14800 < 14900,RRab,0,0,21,4,0,0,0,0,0,0,0,2,0,27
14800 < 14900,RRc,0,0,1,23,0,0,0,0,0,0,0,0,0,24
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14900 < 15000,RRab,0,0,114,11,2,0,0,0,0,0,0,10,0,137
14900 < 15000,RRc,0,0,1,139,0,0,0,0,0,0,0,3,0,143
14900 < 15000,clasOvertoneCep,0,0,0,0,0,0,0,3,0,0,0,0,0,3
14900 < 15000,t2Cep,0,0,2,0,0,0,0,0,0,0,0,22,0,24
1500 < 1600,Mira,24,0,0,0,0,0,0,0,0,0,0,0,0,24
1500 < 1600,OSARG,0,17,0,2,1,1,0,0,0,0,0,1,0,22
1500 < 1600,RRab,0,0,161,28,4,0,1,1,0,0,0,8,0,203
1500 < 1600,RRc,0,1,4,280,1,0,0,0,1,0,0,0,0,287
1500 < 1600,RRd,0,0,0,0,15,0,0,0,0,0,0,0,0,15
1500 < 1600,SRV,1,3,0,0,0,20,0,0,0,0,0,0,0,24
