No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,9429,454,35,33,1796,122,16,211,104,65,85,363,12713
0 < 100,OSARG,672,8622,184,77,1097,12,14,95,298,28,126,72,11297
0 < 100,RRab,166,86,5561,2008,84,195,32,1259,1658,124,712,40,11925
0 < 100,RRc,117,28,1442,7227,44,196,84,907,1184,131,339,39,11738
0 < 100,SRV,4519,1590,81,129,3391,713,212,226,164,168,304,590,12087
0 < 100,clasCep,25,9,56,51,23,1662,114,36,71,114,276,17,2454
0 < 100,clasOvertoneCep,12,7,21,130,16,255,583,9,47,96,56,0,1232
0 < 100,contactBinary,437,83,2087,2625,114,143,36,3284,2287,129,666,78,11969
0 < 100,detachedBinary,97,103,711,543,106,316,52,1068,8229,216,244,33,11718
0 < 100,dsct,38,20,31,140,31,282,286,22,69,393,78,7,1397
0 < 100,t2Cep,40,94,650,393,39,250,40,169,190,98,3209,537,5709
0 < 100,t2RVTau,30,63,16,8,67,34,2,4,11,12,150,567,964
100 < 200,Mira,6381,24,6,0,124,267,9,0,0,1,470,224,7506
100 < 200,OSARG,50,2007,28,18,411,9,26,35,29,4,34,9,2660
100 < 200,RRab,12,11,843,322,30,1946,349,160,126,3,975,0,4777
100 < 200,RRc,1,2,219,892,3,1170,1031,112,105,2,859,4,4400
100 < 200,SRV,547,172,35,156,2698,916,1959,13,49,1,2751,60,9357
100 < 200,clasCep,3,1,15,4,2,3225,248,5,0,3,197,0,3703
100 < 200,clasOvertoneCep,0,0,0,16,2,121,1495,1,0,5,28,0,1668
100 < 200,contactBinary,1,11,157,178,5,25,33,395,163,4,93,1,1066
100 < 200,detachedBinary,2,8,73,118,4,28,23,157,551,4,35,2,1005
100 < 200,dsct,6,2,39,166,6,948,2574,13,33,12,712,7,4518
100 < 200,t2Cep,2,5,55,55,5,365,139,7,10,3,2392,9,3047
100 < 200,t2RVTau,10,3,0,0,1,48,4,0,3,1,152,64,286
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,71,0,0,9,0,0,0,1,0,0,0,81
1000 < 1100,RRab,0,0,61,20,0,0,1,0,0,1,1,0,84
1000 < 1100,RRc,0,0,0,87,0,0,0,0,0,0,0,0,87
1000 < 1100,SRV,3,1,0,0,70,0,2,0,0,0,2,0,78
1000 < 1100,contactBinary,0,0,1,0,0,0,0,1,1,0,0,0,3
1000 < 1100,detachedBinary,0,0,1,1,0,0,0,0,5,0,0,0,7
1000 < 1100,dsct,0,0,0,0,0,0,3,0,0,423,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,3,0,0,0,0,12,0,15
10000 < 10100,RRab,0,0,0,2,0,0,0,0,0,0,0,0,2
10100 < 10200,RRab,0,0,1,1,0,0,0,0,0,0,1,0,3
10200 < 10300,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
10300 < 10400,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,1,0,0,0,0,1
10400 < 10500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
10400 < 10500,contactBinary,0,0,0,0,0,0,0,1,0,0,0,0,1
10700 < 10800,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10700 < 10800,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
10800 < 10900,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
10900 < 11000,RRc,0,0,0,5,0,0,0,0,0,0,0,0,5
1100 < 1200,Mira,95,0,0,0,0,0,0,0,0,0,0,1,96
1100 < 1200,OSARG,0,241,0,0,26,0,0,0,0,0,2,0,269
1100 < 1200,RRab,0,0,13,1,0,0,0,0,0,0,0,0,14
1100 < 1200,RRc,0,0,0,21,0,0,0,0,0,0,0,0,21
1100 < 1200,SRV,6,4,0,0,168,0,1,0,0,0,9,3,191
1100 < 1200,clasCep,0,0,0,0,0,6,0,0,0,0,0,0,6
1100 < 1200,contactBinary,0,0,4,3,0,0,0,3,0,0,0,0,10
1100 < 1200,detachedBinary,0,0,1,0,0,0,0,0,8,0,0,0,9
1100 < 1200,dsct,0,0,1,0,0,0,0,0,1,121,0,0,123
1100 < 1200,t2Cep,0,0,3,0,0,0,0,0,0,0,8,1,12
11000 < 11100,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
11000 < 11100,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
11100 < 11200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11100 < 11200,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
11200 < 11300,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11300 < 11400,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
11300 < 11400,RRc,0,0,1,3,0,0,0,0,0,0,1,0,5
11400 < 11500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
11500 < 11600,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11500 < 11600,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
11600 < 11700,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
11600 < 11700,RRc,0,0,0,3,0,0,0,0,0,0,1,0,4
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
11700 < 11800,RRc,0,0,0,10,0,0,0,0,0,0,0,0,10
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
11800 < 11900,RRab,0,0,3,0,0,0,0,0,0,0,1,0,4
11800 < 11900,RRc,0,1,0,1,0,0,0,0,0,0,0,0,2
11900 < 12000,RRab,0,0,7,3,0,0,0,0,0,0,0,0,10
1200 < 1300,Mira,68,0,0,0,0,0,0,0,0,0,1,0,69
1200 < 1300,OSARG,0,85,0,0,5,0,0,0,0,1,0,0,91
1200 < 1300,RRab,0,0,19,4,0,0,0,0,0,0,0,0,23
1200 < 1300,RRc,0,0,0,13,0,0,0,0,0,0,0,0,13
1200 < 1300,SRV,0,2,0,0,61,0,0,0,0,0,1,0,64
1200 < 1300,contactBinary,0,0,2,0,0,0,0,7,3,0,0,0,12
1200 < 1300,detachedBinary,0,1,1,1,0,0,0,0,11,0,0,0,14
1200 < 1300,dsct,0,0,0,3,0,0,1,0,0,74,0,0,78
1200 < 1300,t2Cep,0,1,0,0,0,0,0,0,0,0,8,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,6,0,0,0,0,0,0,0,0,0,6
12000 < 12100,RRc,0,0,1,9,0,0,0,0,0,0,0,0,10
12100 < 12200,RRab,0,0,6,2,0,0,0,0,0,0,0,0,8
12100 < 12200,RRc,0,0,0,7,0,0,0,0,0,0,0,0,7
12200 < 12300,RRab,0,0,4,1,0,0,0,0,0,0,0,0,5
12200 < 12300,RRc,0,0,0,7,0,0,0,0,0,0,0,0,7
12300 < 12400,RRab,0,0,6,1,0,0,0,0,0,0,0,0,7
12300 < 12400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
12400 < 12500,RRab,0,0,6,4,0,0,0,0,0,0,0,0,10
12400 < 12500,RRc,0,0,0,8,0,0,0,0,0,0,0,0,8
12500 < 12600,RRab,0,0,12,1,0,0,0,0,0,0,0,1,14
12500 < 12600,RRc,0,0,0,14,0,0,0,0,0,0,0,0,14
12600 < 12700,RRab,0,0,19,1,0,0,0,0,0,0,0,0,20
12600 < 12700,RRc,0,0,0,38,0,0,0,0,1,0,3,0,42
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,76,26,0,0,0,0,0,0,1,0,103
12700 < 12800,RRc,0,0,1,147,0,0,0,0,0,0,0,0,148
12700 < 12800,clasCep,0,0,1,0,0,2,0,0,0,0,0,0,3
12700 < 12800,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
12700 < 12800,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
12800 < 12900,RRab,0,0,6,0,0,0,0,0,0,0,0,0,6
12800 < 12900,contactBinary,0,0,1,0,0,0,0,0,0,0,0,0,1
12900 < 13000,RRab,0,0,4,1,0,0,0,0,0,0,0,0,5
12900 < 13000,RRc,0,0,0,6,0,0,0,0,0,0,0,0,6
1300 < 1400,Mira,638,0,0,0,4,0,0,0,0,0,0,0,642
1300 < 1400,OSARG,0,677,0,0,108,0,0,0,0,0,0,0,785
1300 < 1400,RRab,0,0,32,9,0,0,0,0,0,0,0,0,41
1300 < 1400,RRc,0,0,2,50,0,0,0,0,0,0,0,0,52
1300 < 1400,SRV,13,22,0,0,671,0,0,0,0,0,0,0,706
1300 < 1400,clasOvertoneCep,0,0,0,1,0,0,2,0,0,0,0,0,3
1300 < 1400,contactBinary,0,0,1,9,0,0,0,38,8,0,1,0,57
1300 < 1400,detachedBinary,0,0,4,5,0,0,0,14,24,0,1,0,48
1300 < 1400,dsct,0,0,0,0,0,0,0,0,0,51,0,0,51
1300 < 1400,t2Cep,0,0,0,0,0,1,0,0,0,0,8,0,9
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,1,0,4,2,0,0,0,0,0,0,1,0,8
13000 < 13100,RRc,0,0,0,10,0,0,0,0,0,0,0,0,10
13100 < 13200,RRab,0,0,9,3,0,0,0,0,0,0,3,0,15
13100 < 13200,RRc,0,0,3,17,0,0,0,0,0,0,0,0,20
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,6,0,0,0,0,0,0,0,0,0,6
13200 < 13300,RRc,0,0,1,2,0,0,0,0,0,0,0,0,3
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,2,3,0,0,0,0,0,0,1,0,6
13300 < 13400,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
13400 < 13500,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
13400 < 13500,RRc,0,0,0,9,0,0,0,0,0,0,0,0,9
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,8,0,0,0,0,0,0,0,1,0,9
13500 < 13600,RRc,0,0,1,15,0,0,0,0,0,0,0,0,16
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,18,3,0,0,0,0,0,0,1,0,22
13600 < 13700,RRc,0,0,0,19,0,0,0,0,0,0,0,0,19
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,0,6,0,6
13700 < 13800,RRab,0,0,33,5,0,0,0,0,0,0,0,0,38
13700 < 13800,RRc,0,0,2,35,0,0,0,0,0,0,1,0,38
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,218,38,0,0,0,0,0,0,2,0,258
13800 < 13900,RRc,0,0,16,230,0,0,0,0,1,0,0,0,247
13800 < 13900,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,0,3
13800 < 13900,t2Cep,0,0,0,0,0,0,0,0,0,0,90,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
13900 < 14000,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
13900 < 14000,RRc,0,0,1,1,0,0,0,0,0,0,0,0,2
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,458,0,0,0,4,0,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,692,0,0,106,0,0,0,0,0,0,0,798
1400 < 1500,RRab,0,0,70,39,0,0,0,0,0,0,0,0,109
1400 < 1500,RRc,0,0,0,111,0,0,0,0,0,0,1,0,112
1400 < 1500,SRV,8,16,0,0,738,0,0,0,0,0,1,0,763
1400 < 1500,contactBinary,0,0,3,27,0,0,0,196,25,0,1,0,252
1400 < 1500,detachedBinary,0,0,1,13,0,0,0,101,188,0,3,1,307
1400 < 1500,dsct,0,0,2,0,0,0,0,0,2,44,0,0,48
1400 < 1500,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,0,0,5,0,0,0,0,0,0,0,0,0,5
14000 < 14100,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
14100 < 14200,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
14100 < 14200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
14200 < 14300,RRab,0,0,4,1,0,0,0,0,0,0,1,0,6
14200 < 14300,RRc,0,0,0,7,0,0,0,0,0,0,1,0,8
14200 < 14300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
14300 < 14400,RRab,0,0,1,1,0,0,0,0,0,0,1,1,4
14300 < 14400,RRc,0,0,0,6,0,0,0,0,0,0,2,0,8
14400 < 14500,RRab,0,0,1,1,0,0,0,0,0,0,1,0,3
14400 < 14500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,0,3
14600 < 14700,RRab,0,0,4,1,0,0,0,0,0,0,0,0,5
14600 < 14700,RRc,0,0,1,0,0,0,0,0,0,0,0,0,1
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
