No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,8829,615,28,14,4,2057,116,18,285,95,78,77,485,12701
0 < 100,OSARG,518,9147,125,63,1,953,11,12,156,213,16,40,91,11346
0 < 100,RRab,129,102,5188,1559,130,133,181,56,1929,1834,107,471,76,11895
0 < 100,RRc,100,62,1353,6363,258,74,179,92,1449,1250,214,219,85,11698
0 < 100,RRd,4,3,50,207,100,1,2,0,55,41,15,11,5,494
0 < 100,SRV,3877,1910,80,118,7,3507,697,131,319,208,152,213,808,12027
0 < 100,clasCep,31,11,73,44,4,20,1508,99,59,54,97,409,29,2438
0 < 100,clasOvertoneCep,13,7,22,110,5,6,206,524,46,38,109,99,0,1185
0 < 100,contactBinary,322,145,1672,2002,112,148,212,36,4087,2551,168,423,165,12043
0 < 100,detachedBinary,152,142,634,495,56,97,367,65,1282,8251,209,207,75,12032
0 < 100,dsct,44,27,34,110,8,25,219,196,121,79,490,58,16,1427
0 < 100,t2Cep,43,95,683,376,12,57,230,32,377,198,74,2933,602,5712
0 < 100,t2RVTau,25,87,2,10,0,32,22,0,20,6,12,68,720,1004
100 < 200,Mira,6180,48,2,0,4,84,66,3,26,0,4,284,818,7519
100 < 200,OSARG,58,2149,22,10,0,255,13,22,48,29,2,32,15,2655
100 < 200,RRab,25,51,981,161,69,48,1248,218,500,125,9,1245,55,4735
100 < 200,RRc,8,9,296,567,126,9,499,307,1701,101,9,781,14,4427
100 < 200,RRd,5,0,13,10,89,3,49,19,26,3,0,68,3,288
100 < 200,SRV,540,349,36,18,3,2805,361,412,1601,67,5,2539,691,9427
100 < 200,clasCep,3,0,9,10,3,2,2818,251,59,1,3,344,21,3524
100 < 200,clasOvertoneCep,0,2,5,19,2,5,122,1380,27,1,2,75,0,1640
100 < 200,contactBinary,10,20,148,124,20,11,145,150,2761,180,11,396,19,3995
100 < 200,detachedBinary,59,27,81,63,12,27,138,120,2651,1748,6,336,71,5339
100 < 200,dsct,16,30,49,70,13,5,503,807,2344,42,43,591,8,4521
100 < 200,t2Cep,2,5,37,33,0,6,116,38,83,10,1,2503,31,2865
100 < 200,t2RVTau,1,0,0,0,0,2,0,1,0,0,0,8,243,255
1000 < 1100,Mira,56,0,0,0,0,0,0,0,0,0,0,0,1,57
1000 < 1100,OSARG,0,78,0,0,0,4,0,0,0,0,1,1,0,84
1000 < 1100,RRab,0,1,63,17,0,0,1,0,1,0,0,4,0,87
1000 < 1100,RRc,0,0,5,83,0,0,0,0,1,0,1,0,0,90
1000 < 1100,RRd,0,0,1,0,2,0,0,0,0,0,0,0,0,3
1000 < 1100,SRV,0,3,0,1,0,64,0,0,0,0,0,1,0,69
1000 < 1100,contactBinary,0,0,0,1,0,0,0,0,5,0,0,0,0,6
1000 < 1100,detachedBinary,0,0,0,2,0,0,0,0,1,3,0,0,0,6
1000 < 1100,dsct,0,0,0,0,0,0,0,0,0,0,426,0,0,426
1000 < 1100,t2Cep,0,0,1,0,0,0,1,0,0,0,0,12,0,14
10000 < 10100,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10100 < 10200,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
10200 < 10300,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
10300 < 10400,RRab,0,0,1,1,0,0,0,0,0,0,0,0,0,2
10300 < 10400,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10400 < 10500,RRc,0,0,1,1,0,0,0,0,0,0,0,0,0,2
10500 < 10600,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
10800 < 10900,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
10900 < 11000,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,217,0,0,0,27,0,0,0,0,0,0,0,244
1100 < 1200,RRab,0,0,11,0,0,0,0,0,1,0,0,0,0,12
1100 < 1200,RRc,0,0,3,9,0,0,0,0,1,0,0,0,0,13
1100 < 1200,SRV,5,4,1,0,0,176,0,0,0,0,0,2,2,190
1100 < 1200,clasCep,0,0,0,0,0,0,5,0,0,0,0,0,0,5
1100 < 1200,contactBinary,0,0,0,2,0,0,0,0,6,1,0,0,0,9
1100 < 1200,detachedBinary,0,0,1,0,0,0,0,0,6,10,1,0,0,18
1100 < 1200,dsct,0,0,0,0,0,0,0,0,0,0,123,0,0,123
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11000 < 11100,RRc,0,0,0,0,0,0,0,0,0,0,0,2,0,2
11100 < 11200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
11100 < 11200,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
11200 < 11300,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
11200 < 11300,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
11300 < 11400,RRab,0,0,2,0,0,0,0,0,0,1,0,0,0,3
11300 < 11400,RRc,0,0,2,3,0,0,0,0,0,0,0,0,0,5
11400 < 11500,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
11500 < 11600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11500 < 11600,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
11600 < 11700,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11600 < 11700,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,1,0,0,0,0,0,0,0,0,1,0,2
11700 < 11800,RRc,0,0,1,5,0,0,0,0,0,0,0,1,0,7
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
11800 < 11900,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
11800 < 11900,RRc,0,1,0,1,0,0,0,0,0,0,0,0,0,2
11900 < 12000,RRab,0,0,3,2,0,0,0,0,0,0,0,1,0,6
1200 < 1300,Mira,69,0,0,0,0,0,0,0,0,0,0,0,0,69
1200 < 1300,OSARG,0,86,0,0,0,8,0,0,0,0,0,0,0,94
1200 < 1300,RRab,0,0,14,3,0,0,0,0,1,0,0,3,0,21
1200 < 1300,RRc,0,0,2,15,0,0,0,1,0,0,0,0,0,18
1200 < 1300,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1200 < 1300,SRV,1,1,0,0,0,83,0,0,0,0,0,1,3,89
1200 < 1300,contactBinary,0,0,0,0,0,0,0,0,9,0,0,1,0,10
1200 < 1300,detachedBinary,0,0,0,0,0,0,0,0,5,7,0,0,0,12
1200 < 1300,dsct,0,0,1,2,0,0,0,0,2,0,73,0,0,78
1200 < 1300,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,4,1,0,0,0,0,0,0,0,3,0,8
12000 < 12100,RRc,0,0,0,2,0,0,0,0,0,0,0,1,0,3
12000 < 12100,contactBinary,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12100 < 12200,RRab,0,0,6,1,0,0,0,0,0,0,0,0,0,7
12100 < 12200,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
12200 < 12300,RRab,0,0,5,0,0,0,0,0,0,0,0,1,0,6
12200 < 12300,RRc,0,0,0,7,0,0,0,0,0,0,0,1,0,8
12300 < 12400,RRab,0,0,10,0,0,0,0,0,0,0,0,1,0,11
12300 < 12400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12400 < 12500,RRab,0,0,6,1,1,0,0,0,0,0,0,2,0,10
12400 < 12500,RRc,0,0,0,8,0,0,0,0,0,0,0,0,0,8
12400 < 12500,RRd,0,0,0,1,2,0,0,0,0,0,0,0,0,3
12500 < 12600,RRab,0,0,12,0,0,0,0,0,0,0,0,0,0,12
12500 < 12600,RRc,0,1,0,15,0,0,0,0,0,0,0,0,0,16
12600 < 12700,RRab,0,0,12,6,0,0,0,0,0,0,0,0,0,18
12600 < 12700,RRc,0,0,2,37,0,0,0,0,0,0,0,1,0,40
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,98,8,0,0,0,0,0,0,0,3,0,109
12700 < 12800,RRc,0,0,4,131,4,0,0,0,2,0,0,0,0,141
12700 < 12800,RRd,0,0,0,0,6,0,0,0,0,0,0,0,0,6
12700 < 12800,clasCep,0,0,0,0,0,0,2,0,0,0,0,1,0,3
12700 < 12800,t2Cep,0,0,1,0,0,0,0,0,0,0,0,11,0,12
12800 < 12900,RRab,0,0,5,0,1,0,0,0,0,0,0,1,0,7
12800 < 12900,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12900 < 13000,RRab,0,0,2,0,0,1,0,0,0,0,0,1,0,4
12900 < 13000,RRc,0,0,0,3,0,0,0,0,0,0,0,1,0,4
1300 < 1400,Mira,637,0,0,0,0,3,0,0,0,0,0,0,2,642
1300 < 1400,OSARG,1,612,0,1,0,102,0,0,0,0,0,0,0,716
1300 < 1400,RRab,0,0,20,7,1,0,1,0,1,0,0,0,0,30
1300 < 1400,RRc,0,0,1,44,1,0,0,0,0,0,0,0,0,46
1300 < 1400,SRV,13,24,0,0,0,746,0,0,0,0,0,0,0,783
1300 < 1400,clasOvertoneCep,0,0,0,0,0,0,0,1,0,0,0,2,0,3
1300 < 1400,contactBinary,0,0,2,1,0,0,0,0,39,8,0,0,0,50
1300 < 1400,detachedBinary,0,0,2,2,0,0,0,0,17,32,0,1,0,54
1300 < 1400,dsct,0,0,0,0,0,0,0,0,0,0,51,0,0,51
1300 < 1400,t2Cep,0,0,0,0,0,0,3,0,0,0,0,6,0,9
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
13000 < 13100,RRc,0,0,0,2,0,0,1,0,0,0,0,1,0,4
13100 < 13200,RRab,0,1,13,0,0,1,0,0,0,0,0,0,0,15
13100 < 13200,RRc,0,1,2,15,0,0,0,0,0,0,0,4,0,22
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,6,0,0,0,0,0,1,0,0,1,0,8
13200 < 13300,RRc,0,0,1,4,0,0,0,0,0,0,0,0,0,5
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,2,9,2,0,0,0,0,0,0,0,1,0,14
13300 < 13400,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
13400 < 13500,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
13400 < 13500,RRc,0,0,2,9,0,0,0,0,0,0,0,1,0,12
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,6,0,0,0,0,0,0,0,0,0,0,6
13500 < 13600,RRc,0,0,0,15,1,0,0,0,0,0,0,0,0,16
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,13,3,1,1,0,0,0,0,0,0,0,18
13600 < 13700,RRc,0,0,1,24,0,0,0,0,0,1,0,1,0,27
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,6,0,6
13700 < 13800,RRab,0,0,37,6,0,0,2,0,0,0,0,1,0,46
13700 < 13800,RRc,0,0,2,29,1,0,0,0,0,0,0,1,0,33
13700 < 13800,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,217,27,0,0,0,0,0,0,0,2,2,248
13800 < 13900,RRc,0,0,6,205,0,0,0,0,0,1,0,1,0,213
13800 < 13900,RRd,0,0,0,0,15,0,0,0,0,0,0,0,0,15
13800 < 13900,clasOvertoneCep,0,0,0,0,0,0,0,3,0,0,0,0,0,3
13800 < 13900,t2Cep,0,0,0,0,0,0,0,0,0,0,0,90,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
13900 < 14000,RRab,0,0,5,0,0,0,0,0,0,0,0,0,0,5
13900 < 14000,RRc,0,0,0,2,0,0,0,0,0,0,0,3,0,5
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,459,0,0,0,0,3,0,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,743,0,0,0,79,0,1,0,0,0,1,0,824
1400 < 1500,RRab,0,0,83,7,3,0,0,0,3,1,0,5,0,102
1400 < 1500,RRc,0,1,5,108,4,0,0,2,0,0,0,0,0,120
1400 < 1500,RRd,0,0,0,0,9,0,0,0,0,0,0,0,0,9
1400 < 1500,SRV,12,23,0,0,0,673,0,0,0,0,0,0,0,708
1400 < 1500,contactBinary,0,1,2,3,0,0,0,0,218,61,0,1,0,286
1400 < 1500,detachedBinary,0,1,1,2,0,1,0,0,76,268,0,0,0,349
1400 < 1500,dsct,0,0,2,0,0,0,0,0,0,0,46,0,0,48
1400 < 1500,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
