No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,10359,0,2,0,0,184,29,623,160,111,89,733,12290
0 < 100,OSARG,4510,119,3,0,17,144,19,524,858,388,698,4046,11326
0 < 100,RRab,180,2,276,38,2,297,188,5599,2219,420,2461,112,11794
0 < 100,RRc,118,0,43,145,1,303,466,6532,1331,1393,1213,73,11618
0 < 100,SRV,7341,18,14,2,221,827,84,586,311,237,292,1729,11662
0 < 100,clasCep,30,0,6,0,0,1676,55,62,74,74,282,37,2296
0 < 100,clasOvertoneCep,9,0,0,12,0,278,657,73,49,86,50,1,1215
0 < 100,contactBinary,281,3,32,49,1,227,121,7448,2527,213,946,131,11979
0 < 100,detachedBinary,140,4,14,26,0,373,49,2042,8477,213,247,77,11662
0 < 100,dsct,26,0,0,0,0,182,55,83,71,461,28,23,929
0 < 100,t2Cep,48,0,14,4,1,233,31,538,213,141,3772,647,5642
0 < 100,t2RVTau,51,0,0,0,0,16,3,23,9,10,100,759,971
100 < 200,Mira,1794,0,6,0,5,8,0,2,2,14,6,21,1858
100 < 200,OSARG,339,1572,23,3,200,68,9,80,94,20,107,139,2654
100 < 200,RRab,14,0,707,121,2,53,20,319,205,15,199,9,1664
100 < 200,RRc,2,4,55,557,2,24,69,309,160,36,136,2,1356
100 < 200,SRV,405,178,31,0,2210,23,3,24,11,16,54,97,3052
100 < 200,clasCep,1,0,21,7,3,2224,170,0,1,4,154,13,2598
100 < 200,clasOvertoneCep,0,0,0,11,0,67,1331,2,0,6,15,0,1432
100 < 200,contactBinary,2,3,41,54,2,34,17,569,185,16,109,5,1037
100 < 200,detachedBinary,24,2,17,33,2,17,14,253,675,19,37,4,1097
100 < 200,dsct,0,0,0,0,0,2,1,4,2,49,5,0,63
100 < 200,t2Cep,0,0,8,16,0,61,49,26,20,0,1597,6,1783
100 < 200,t2RVTau,0,0,0,0,0,0,0,0,0,1,4,67,72
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,96,0,0,5,0,0,0,0,0,0,0,101
1000 < 1100,RRab,0,0,69,14,0,0,0,0,1,0,3,0,87
1000 < 1100,RRc,0,0,3,82,0,0,1,0,0,2,0,0,88
1000 < 1100,SRV,2,12,0,0,49,0,0,0,0,0,0,0,63
1000 < 1100,contactBinary,0,0,0,0,0,0,0,2,1,0,0,0,3
1000 < 1100,detachedBinary,0,0,1,0,0,0,0,1,4,0,0,0,6
1000 < 1100,dsct,0,1,0,0,0,0,0,0,0,425,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,0,6,0,6
10000 < 10100,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10100 < 10200,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
10300 < 10400,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10600 < 10700,RRab,0,0,0,0,0,0,0,0,0,0,0,2,2
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,3,0,0,0,0,0,0,1,0,4
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,261,0,1,15,0,0,0,0,0,0,0,277
1100 < 1200,RRab,0,0,7,3,0,0,0,0,0,0,1,0,11
1100 < 1200,RRc,0,0,1,16,0,0,0,0,0,0,1,0,18
1100 < 1200,SRV,1,21,0,0,150,0,0,0,0,0,0,0,172
1100 < 1200,contactBinary,0,0,0,3,0,0,0,7,0,0,0,0,10
1100 < 1200,detachedBinary,0,0,2,1,0,0,0,1,6,0,0,0,10
1100 < 1200,dsct,0,0,0,0,0,0,0,0,0,123,0,0,123
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,4,1,0,0,0,0,0,0,0,0,5
11000 < 11100,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
11100 < 11200,RRab,0,0,1,1,0,0,0,0,0,0,0,0,2
11100 < 11200,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11200 < 11300,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
11200 < 11300,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11300 < 11400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11400 < 11500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
11500 < 11600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
11500 < 11600,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11600 < 11700,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11600 < 11700,RRc,0,0,0,2,0,0,0,0,0,0,1,0,3
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,5,0,0,0,0,0,0,0,0,0,5
11700 < 11800,RRc,0,0,1,6,0,0,0,0,0,0,1,0,8
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
11800 < 11900,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11800 < 11900,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
11900 < 12000,RRab,0,0,3,2,0,0,0,0,0,0,0,0,5
1200 < 1300,Mira,69,0,0,0,0,0,0,0,0,0,0,0,69
1200 < 1300,OSARG,0,65,0,0,5,0,0,0,0,0,0,0,70
1200 < 1300,RRab,0,0,13,5,0,0,1,0,1,0,2,0,22
1200 < 1300,RRc,0,0,0,16,0,0,0,0,0,0,0,0,16
1200 < 1300,SRV,0,6,0,0,62,0,0,0,0,0,0,0,68
1200 < 1300,contactBinary,0,0,0,1,0,0,0,9,3,0,0,0,13
1200 < 1300,detachedBinary,0,0,3,0,0,0,0,2,13,0,0,0,18
1200 < 1300,dsct,0,0,0,0,0,0,0,0,0,78,0,0,78
1200 < 1300,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
12000 < 12100,RRc,0,0,1,7,0,0,0,0,0,0,0,0,8
12100 < 12200,RRab,0,0,6,1,0,0,0,0,0,0,1,0,8
12100 < 12200,RRc,0,0,0,4,2,0,0,0,0,0,0,0,6
12200 < 12300,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
