No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
0 < 100,Mira,8637,656,34,25,2068,163,25,290,85,115,583,12681
0 < 100,OSARG,443,8992,215,71,1058,13,16,86,232,65,124,11315
0 < 100,RRab,117,108,5581,1928,111,237,56,1179,1847,676,66,11906
0 < 100,RRc,92,34,1387,7326,59,220,114,873,1251,286,58,11700
0 < 100,SRV,3928,2135,70,113,3256,753,224,258,228,396,759,12120
0 < 100,clasCep,21,14,83,63,34,1577,109,43,50,365,23,2382
0 < 100,clasOvertoneCep,12,3,38,148,8,290,579,33,35,78,1,1225
0 < 100,contactBinary,323,117,2296,2682,165,229,94,2935,2383,692,158,12074
0 < 100,detachedBinary,114,168,825,655,129,409,141,1006,8295,291,56,12089
0 < 100,t2Cep,37,86,815,409,55,237,54,149,223,3155,514,5734
0 < 100,t2RVTau,28,65,9,12,32,31,0,9,5,104,662,957
100 < 200,Mira,6585,32,3,0,119,92,5,8,0,358,279,7481
100 < 200,OSARG,58,2108,21,13,298,16,15,31,31,39,8,2638
100 < 200,RRab,22,41,824,279,31,1510,160,338,151,1054,6,4416
100 < 200,RRc,2,5,208,752,7,620,320,901,111,904,1,3831
100 < 200,SRV,574,321,42,31,2510,498,532,1455,178,3178,116,9435
100 < 200,clasCep,1,1,13,10,0,2773,311,6,0,310,4,3429
100 < 200,clasOvertoneCep,0,1,2,13,0,105,1410,8,1,62,2,1604
100 < 200,contactBinary,10,18,135,187,13,192,306,2147,197,733,1,3939
100 < 200,detachedBinary,51,27,98,114,11,60,109,1757,2731,304,3,5265
100 < 200,t2Cep,0,8,19,31,5,84,45,33,10,1955,12,2202
100 < 200,t2RVTau,1,2,0,0,5,3,0,1,2,9,75,98
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,76,0,0,9,0,0,0,0,0,0,85
1000 < 1100,RRab,0,0,73,16,0,0,0,1,0,4,0,94
1000 < 1100,RRc,0,2,3,86,0,0,0,0,0,0,0,91
1000 < 1100,SRV,1,6,0,0,55,0,0,0,0,1,1,64
1000 < 1100,contactBinary,0,0,0,2,0,0,0,4,0,0,0,6
1000 < 1100,detachedBinary,0,0,1,0,0,0,0,1,7,0,0,9
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
10000 < 10100,RRab,0,0,1,1,0,0,0,0,0,0,0,2
10100 < 10200,RRab,0,0,1,1,0,0,0,0,0,0,0,2
10200 < 10300,RRab,0,0,0,0,0,0,0,0,0,1,0,1
10200 < 10300,RRc,0,0,0,3,0,0,0,0,0,0,0,3
10300 < 10400,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10400 < 10500,RRc,0,0,1,3,0,0,0,0,0,0,0,4
10600 < 10700,RRab,0,0,2,0,0,0,0,0,0,0,0,2
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,0,0,0,0,0,0,0,1,0,1
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,2
10800 < 10900,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,6,0,0,0,0,0,0,0,6
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,229,1,0,18,0,0,0,0,0,0,248
1100 < 1200,RRab,0,0,7,2,0,0,1,1,0,1,0,12
1100 < 1200,RRc,0,0,0,14,0,0,0,0,0,0,0,14
1100 < 1200,SRV,3,5,0,0,150,0,0,0,0,3,0,161
1100 < 1200,clasCep,0,0,0,0,0,6,0,0,0,0,0,6
1100 < 1200,contactBinary,0,0,0,2,0,0,0,9,1,0,0,12
1100 < 1200,detachedBinary,0,0,0,0,0,0,0,6,3,0,0,9
1100 < 1200,t2Cep,0,0,0,3,0,0,0,0,0,9,0,12
11000 < 11100,RRab,0,0,4,2,0,0,0,0,0,0,0,6
