No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
0 < 100,Mira,9214,479,33,16,2135,162,23,228,85,74,232,12681
0 < 100,OSARG,620,8802,169,69,1132,12,31,117,244,61,58,11315
0 < 100,RRab,162,107,5367,1677,156,259,49,1530,2008,536,55,11906
0 < 100,RRc,115,47,1330,6974,78,241,128,1173,1335,247,32,11700
0 < 100,SRV,4208,1724,80,78,3876,827,157,254,241,281,394,12120
0 < 100,clasCep,38,14,66,61,33,1626,100,54,74,308,8,2382
0 < 100,clasOvertoneCep,10,3,12,149,10,320,586,36,48,47,4,1225
0 < 100,contactBinary,442,110,1752,2304,164,233,74,3815,2483,592,105,12074
0 < 100,detachedBinary,156,125,547,513,98,433,123,1347,8472,228,47,12089
0 < 100,t2Cep,51,100,608,421,95,211,64,238,254,3212,480,5734
0 < 100,t2RVTau,49,59,5,8,73,26,4,11,7,86,629,957
100 < 200,Mira,6774,27,0,1,118,44,3,6,1,218,289,7481
100 < 200,OSARG,58,2106,12,9,294,20,24,38,39,36,2,2638
100 < 200,RRab,34,36,968,288,45,1590,199,298,173,772,13,4416
100 < 200,RRc,2,11,215,822,7,654,335,930,140,714,1,3831
100 < 200,SRV,611,396,65,168,3024,577,706,1161,330,2267,130,9435
100 < 200,clasCep,2,0,6,5,4,2943,236,4,0,225,4,3429
100 < 200,clasOvertoneCep,0,0,0,11,0,106,1443,0,0,44,0,1604
100 < 200,contactBinary,14,20,144,231,9,297,220,2179,258,565,2,3939
100 < 200,detachedBinary,67,32,93,162,14,193,182,1682,2565,267,8,5265
100 < 200,t2Cep,0,7,27,38,0,83,45,31,4,1962,5,2202
100 < 200,t2RVTau,0,0,0,0,2,4,0,0,0,7,85,98
1000 < 1100,Mira,55,0,2,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,69,1,0,9,1,2,0,2,0,1,85
1000 < 1100,RRab,0,0,74,16,0,2,0,1,1,0,0,94
1000 < 1100,RRc,0,1,1,86,0,0,0,0,3,0,0,91
1000 < 1100,SRV,1,3,0,0,57,0,1,0,1,1,0,64
1000 < 1100,contactBinary,0,0,3,0,0,0,0,3,0,0,0,6
1000 < 1100,detachedBinary,0,0,0,1,0,0,0,1,7,0,0,9
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
10000 < 10100,RRab,0,0,1,1,0,0,0,0,0,0,0,2
10100 < 10200,RRab,0,0,1,1,0,0,0,0,0,0,0,2
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,3,0,0,0,0,0,0,0,3
10300 < 10400,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10400 < 10500,RRc,0,0,0,4,0,0,0,0,0,0,0,4
10600 < 10700,RRab,0,0,2,0,0,0,0,0,0,0,0,2
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,2
10800 < 10900,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,6,0,0,0,0,0,0,0,6
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,224,1,0,21,0,0,2,0,0,0,248
1100 < 1200,RRab,0,0,7,4,0,0,0,1,0,0,0,12
1100 < 1200,RRc,0,0,0,13,0,0,0,1,0,0,0,14
1100 < 1200,SRV,4,2,0,0,146,0,0,0,0,7,2,161
1100 < 1200,clasCep,0,0,0,0,0,5,1,0,0,0,0,6
1100 < 1200,contactBinary,0,0,0,3,0,0,0,8,1,0,0,12
1100 < 1200,detachedBinary,0,0,0,0,0,0,0,5,4,0,0,9
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,6,0,0,0,0,0,0,0,0,6
11000 < 11100,RRc,0,0,0,4,0,0,0,0,0,0,0,4
11100 < 11200,RRab,0,0,4,0,0,0,0,0,0,0,0,4
11100 < 11200,RRc,0,0,0,4,0,0,0,0,0,0,0,4
11200 < 11300,RRab,0,0,4,0,0,0,0,0,0,1,0,5
11200 < 11300,RRc,0,0,0,1,0,0,0,0,0,0,0,1
11300 < 11400,RRab,0,0,1,0,0,0,0,0,0,0,0,1
11300 < 11400,RRc,0,0,1,4,0,0,0,0,0,0,0,5
11400 < 11500,RRab,0,0,1,0,0,0,0,0,0,0,0,1
11400 < 11500,RRc,0,0,0,1,0,0,0,0,0,0,0,1
11500 < 11600,RRab,0,0,1,0,0,0,0,0,0,0,0,1
11500 < 11600,RRc,0,0,0,2,0,0,0,0,0,0,0,2
11600 < 11700,RRc,0,0,0,1,0,0,0,0,0,2,0,3
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,3,0,0,0,0,0,0,0,0,3
11700 < 11800,RRc,0,0,0,10,0,0,0,0,0,0,0,10
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
