Confusion Matrix For Each Model Iteration:
Predicted         Mira   RRab    RRc    SRV  clasCep  clasOvertoneCep  contactBinary  detachedBinary  t2Cep  t2RVTau     All
Actual                                                                                                                      
Mira             50046    151     45   3785      852              198           1005             250   2017     1651   60000
RRab               407  25119   6317    427     8159              955           6347            3204   8636      429   60000
RRc                154   3985  30051    221     3578             1972          12703            2774   4394      168   60000
SRV               8558    299    346  28875     2166             3189           5034            2364   7353     1816   60000
clasCep            319    608    398    322    49887             5483            598             379   1735      271   60000
clasOvertoneCep    188    108   1865    315     3489            51671           1082             547    654       81   60000
contactBinary      620   3224   4622    399     1336             1896          37592            7648   2369      294   60000
detachedBinary     371   1517   1698    429      872             1598          15203           36502   1630      180   60000
t2Cep              172   2723   1917    312     1340              800           1321             558  47790     3067   60000
t2RVTau            550     89    147    588      255              152            343              47    717    40372   43260
All              61385  37823  47406  35673    71934            67914          81228           54273  77295    48329  583260
